walker	cdf_0	cdf_1	log_l	log_p
0	4.935760680e+00	-1.545877770e+01	5.861045113e+00	-7.377758908e+00
1	-2.012038023e+00	1.489906415e+01	-9.642145282e+00	-7.377758908e+00
2	-1.002287268e+00	1.129280341e+01	-8.766510963e+00	-7.377758908e+00
3	-1.676764346e+01	-7.731970154e+00	-1.137678112e+01	-7.377758908e+00
4	1.034946810e+00	-2.099486685e+00	2.292616234e+00	-7.377758908e+00
5	1.160443590e+01	9.126640655e+00	-7.816639694e+00	-7.377758908e+00
6	1.265953284e+00	3.933037183e+00	-7.870360280e+00	-7.377758908e+00
7	-1.626496560e+01	1.484203225e+01	-1.137678112e+01	-7.377758908e+00
8	-6.355354725e+00	-1.776689169e+01	-1.137678112e+01	-7.377758908e+00
9	5.728223188e-01	6.149671037e+00	-8.034203656e+00	-7.377758908e+00
10	1.795420697e+01	6.827263591e+00	-7.816639694e+00	-7.377758908e+00
11	8.854733650e+00	1.524503935e+01	-7.816639694e+00	-7.377758908e+00
12	-3.291773217e+00	1.919701088e+01	-1.150246209e+01	-7.377758908e+00
13	-1.092167314e+01	-1.372752930e+01	-1.137678112e+01	-7.377758908e+00
14	-1.623441949e+01	-6.488548900e+00	-1.137678112e+01	-7.377758908e+00
15	1.881014744e+01	1.907072920e+01	-7.816639694e+00	-7.377758908e+00
16	1.931871453e+01	-1.135455107e+01	-7.816639694e+00	-7.377758908e+00
17	-2.545834910e-01	1.603768307e+01	-7.922818725e+00	-7.377758908e+00
18	-1.558976112e+01	-1.912201282e+01	-1.137678112e+01	-7.377758908e+00
19	1.100409175e+01	4.511383081e+00	-7.816639694e+00	-7.377758908e+00
20	-1.486145361e+01	6.637008462e+00	-1.137678112e+01	-7.377758908e+00
21	1.488636873e+01	1.231591400e+01	-7.816639694e+00	-7.377758908e+00
22	-1.183017865e+01	1.933693218e+00	-1.137678112e+01	-7.377758908e+00
23	1.852994631e+01	-1.185062826e+01	-7.816639694e+00	-7.377758908e+00
24	6.227281574e-01	-8.982517538e+00	4.411547709e-01	-7.377758908e+00
25	-5.474298756e+00	-1.879169704e+01	-1.137678112e+01	-7.377758908e+00
26	5.462808889e+00	-8.652998392e+00	-6.349061210e-01	-7.377758908e+00
27	-1.195297833e+01	9.451316154e+00	-1.137678112e+01	-7.377758908e+00
28	-1.307498685e+01	2.428242525e+00	-1.137678112e+01	-7.377758908e+00
29	-9.479058347e+00	8.152573705e+00	-1.137678359e+01	-7.377758908e+00
30	1.419557565e+01	-1.540433150e+01	-7.816607945e+00	-7.377758908e+00
31	-1.144000088e+01	-1.286980349e+01	-1.137678112e+01	-7.377758908e+00
32	-1.717148072e+01	1.539672923e+01	-1.137678112e+01	-7.377758908e+00
33	-1.056472271e+00	-7.072421466e-01	-1.313349547e+00	-7.377758908e+00
34	1.446621536e+01	1.257293443e+01	-7.816639694e+00	-7.377758908e+00
35	7.000410169e+00	7.795925394e+00	-7.816639694e+00	-7.377758908e+00
36	1.371577725e+01	-1.167314273e+01	-7.816639693e+00	-7.377758908e+00
37	-9.176723110e-01	1.538511907e+01	-8.209829272e+00	-7.377758908e+00
38	1.591694480e+01	8.951615289e+00	-7.816639694e+00	-7.377758908e+00
39	-1.203647522e+01	-1.128412053e+01	-1.137678112e+01	-7.377758908e+00
40	4.165891812e+00	1.101020753e+01	-7.816639765e+00	-7.377758908e+00
41	1.750737140e+01	-9.051204087e+00	-7.816639694e+00	-7.377758908e+00
42	9.860751522e-01	-2.454417069e+00	2.745397818e+00	-7.377758908e+00
43	-1.408723020e+01	-1.438172796e+01	-1.137678112e+01	-7.377758908e+00
44	3.634168729e-02	2.233362853e+00	-3.417070180e+00	-7.377758908e+00
45	-2.153163361e+00	-1.347164787e+01	-1.093687213e+01	-7.377758908e+00
46	1.580348607e+01	-1.671186847e+01	-7.816639363e+00	-7.377758908e+00
47	-3.485681047e+00	-1.508531385e+01	-1.137608221e+01	-7.377758908e+00
48	4.429855513e+00	1.216420475e+01	-7.816639702e+00	-7.377758908e+00
49	-7.218341186e-01	8.544174891e+00	-8.890060900e+00	-7.377758908e+00
0	4.935760680e+00	-1.545877770e+01	5.861045113e+00	-7.377758908e+00
1	-2.012038023e+00	1.489906415e+01	-9.642145282e+00	-7.377758908e+00
2	6.412406995e+00	1.190642325e+01	-7.816639694e+00	-7.377758908e+00
3	-1.676764346e+01	-7.731970154e+00	-1.137678112e+01	-7.377758908e+00
4	1.034946810e+00	-2.099486685e+00	2.292616234e+00	-7.377758908e+00
5	1.160443590e+01	9.126640655e+00	-7.816639694e+00	-7.377758908e+00
6	1.957516470e+00	3.061158560e-01	-6.105189712e+00	-7.377758908e+00
7	-1.423026145e+01	2.270408190e+00	-1.137678112e+01	-7.377758908e+00
8	-6.355354725e+00	-1.776689169e+01	-1.137678112e+01	-7.377758908e+00
9	5.728223188e-01	6.149671037e+00	-8.034203656e+00	-7.377758908e+00
10	1.583563313e+01	4.661981143e+00	-7.816639694e+00	-7.377758908e+00
11	8.854733650e+00	1.524503935e+01	-7.816639694e+00	-7.377758908e+00
12	-3.291773217e+00	1.919701088e+01	-1.150246209e+01	-7.377758908e+00
13	-1.092167314e+01	-1.372752930e+01	-1.137678112e+01	-7.377758908e+00
14	-1.623441949e+01	-6.488548900e+00	-1.137678112e+01	-7.377758908e+00
15	1.881014744e+01	1.907072920e+01	-7.816639694e+00	-7.377758908e+00
16	1.931871453e+01	-1.135455107e+01	-7.816639694e+00	-7.377758908e+00
17	-4.073832976e-01	1.588730856e+01	-7.964156264e+00	-7.377758908e+00
18	-7.773106027e+00	-9.807863051e+00	-1.137678112e+01	-7.377758908e+00
19	1.216051035e+01	1.135645400e+01	-7.816639694e+00	-7.377758908e+00
20	-1.486145361e+01	6.637008462e+00	-1.137678112e+01	-7.377758908e+00
21	1.068842551e+01	8.079680325e+00	-7.816639694e+00	-7.377758908e+00
22	-1.192964441e+01	1.732589024e+00	-1.137678112e+01	-7.377758908e+00
23	1.852994631e+01	-1.185062826e+01	-7.816639694e+00	-7.377758908e+00
24	4.109618098e+00	-1.375978810e+01	5.676155269e+00	-7.377758908e+00
25	-5.474298756e+00	-1.879169704e+01	-1.137678112e+01	-7.377758908e+00
26	5.462808889e+00	-8.652998392e+00	-6.349061210e-01	-7.377758908e+00
27	-1.195297833e+01	9.451316154e+00	-1.137678112e+01	-7.377758908e+00
28	-1.236888708e+01	7.647306603e-01	-1.137678112e+01	-7.377758908e+00
29	-5.624260567e+00	3.816965512e+00	-1.137726155e+01	-7.377758908e+00
30	1.869928080e+01	-1.537785044e+01	-7.816639694e+00	-7.377758908e+00
31	-8.919890725e+00	-1.143048118e+01	-1.137678112e+01	-7.377758908e+00
32	-1.717148072e+01	1.539672923e+01	-1.137678112e+01	-7.377758908e+00
33	-1.056472271e+00	-7.072421466e-01	-1.313349547e+00	-7.377758908e+00
34	1.446621536e+01	1.257293443e+01	-7.816639694e+00	-7.377758908e+00
35	1.207912541e+01	1.622041434e+01	-7.816639694e+00	-7.377758908e+00
36	9.829378168e+00	-2.441979467e+00	-7.816639694e+00	-7.377758908e+00
37	-1.431112181e+00	1.856651077e+01	-8.305938220e+00	-7.377758908e+00
38	1.703524101e+01	-8.270561171e-01	-7.816639694e+00	-7.377758908e+00
39	-1.203647522e+01	-1.128412053e+01	-1.137678112e+01	-7.377758908e+00
40	1.328210703e+01	9.136102564e+00	-7.816639694e+00	-7.377758908e+00
41	1.750737140e+01	-9.051204087e+00	-7.816639694e+00	-7.377758908e+00
42	9.860751522e-01	-2.454417069e+00	2.745397818e+00	-7.377758908e+00
43	-1.408723020e+01	-1.438172796e+01	-1.137678112e+01	-7.377758908e+00
44	-9.961354486e-02	2.124768361e+00	-2.748831579e+00	-7.377758908e+00
45	4.552271956e+00	-1.296029803e+01	5.676871241e+00	-7.377758908e+00
46	7.587473605e+00	-1.444670427e+01	2.045637543e+00	-7.377758908e+00
47	-3.402458219e+00	-3.717666572e-01	-1.079982452e+01	-7.377758908e+00
