walker	cdf_0	cdf_1	log_l	log_p
0	-7.167396523e+00	1.096372340e+01	-1.185891056e+01	-7.377758908e+00
1	4.125396257e+00	-6.565783194e+00	3.306434956e-01	-7.377758908e+00
2	3.136679446e+00	1.410501145e+00	-7.811292759e+00	-7.377758908e+00
3	1.228043632e+01	4.779779494e+00	-7.816639694e+00	-7.377758908e+00
4	-2.088112905e+00	-1.608340560e+01	-1.114640963e+01	-7.377758908e+00
5	-1.286864005e+01	-1.633168461e+01	-1.137678112e+01	-7.377758908e+00
6	-9.173063146e+00	2.290411797e+00	-1.137678112e+01	-7.377758908e+00
7	-9.591105144e+00	1.805905143e+01	-1.466497385e+01	-7.377758908e+00
8	1.554075131e+01	3.356044241e+00	-7.816639694e+00	-7.377758908e+00
9	-1.127154502e+01	-2.387174097e+00	-1.137678112e+01	-7.377758908e+00
10	-9.229680792e+00	-8.012480815e+00	-1.137678112e+01	-7.377758908e+00
11	-1.351290650e+01	-6.128627258e+00	-1.137678112e+01	-7.377758908e+00
12	6.983518535e+00	1.474867331e+01	-7.816639694e+00	-7.377758908e+00
13	8.391721187e+00	-1.940291373e+01	4.796269815e+00	-7.377758908e+00
14	2.638514660e+00	1.873481229e+01	-7.816642918e+00	-7.377758908e+00
15	1.473808310e+01	-4.039413181e+00	-7.816639694e+00	-7.377758908e+00
16	-1.861461167e+01	-7.375956546e-01	-1.137678112e+01	-7.377758908e+00
17	-7.983051275e+00	-4.346278412e+00	-1.137678112e+01	-7.377758908e+00
18	-1.781978192e+01	-1.727059294e+01	-1.137678112e+01	-7.377758908e+00
19	-1.294260369e+01	1.902661161e+01	-1.144644474e+01	-7.377758908e+00
20	-1.423060869e+01	1.459057167e+01	-1.137678114e+01	-7.377758908e+00
21	-7.914318937e+00	1.254300303e+01	-1.198736197e+01	-7.377758908e+00
22	3.817445389e+00	1.582133177e+01	-7.816639728e+00	-7.377758908e+00
23	-1.995254546e+01	1.333653723e+01	-1.137678112e+01	-7.377758908e+00
24	-6.523998160e+00	-9.720153163e+00	-1.137678112e+01	-7.377758908e+00
25	1.290243334e+01	-4.065768021e+00	-7.816639694e+00	-7.377758908e+00
26	9.010933026e-01	-3.534859796e+00	3.405393862e+00	-7.377758908e+00
27	-8.356626175e+00	-2.930393352e+00	-1.137678112e+01	-7.377758908e+00
28	-8.594358515e-01	-1.234683075e+00	-7.378869585e-01	-7.377758908e+00
29	-1.180994304e+01	7.496062071e+00	-1.137678112e+01	-7.377758908e+00
30	-1.167868872e+01	-5.863336691e+00	-1.137678112e+01	-7.377758908e+00
31	-3.494659500e+00	-8.454257805e+00	-1.135993992e+01	-7.377758908e+00
32	4.561868744e+00	7.286441127e+00	-7.816639762e+00	-7.377758908e+00
33	8.729707314e-01	-1.719633627e+01	-3.154492609e+00	-7.377758908e+00
34	-1.912230233e+01	-7.261121554e+00	-1.137678112e+01	-7.377758908e+00
35	1.040565620e+01	1.314382070e+01	-7.816639694e+00	-7.377758908e+00
36	1.982400070e+01	7.096187783e+00	-7.816639694e+00	-7.377758908e+00
37	-7.276775680e+00	9.762425197e+00	-1.148843090e+01	-7.377758908e+00
38	3.518472158e+00	-7.499719264e+00	3.755928650e+00	-7.377758908e+00
39	-6.339087909e+00	9.449495867e+00	-1.183632694e+01	-7.377758908e+00
40	1.082539345e+01	1.934180366e+01	-7.816639694e+00	-7.377758908e+00
41	-1.413024161e+01	-2.661771005e+00	-1.137678112e+01	-7.377758908e+00
42	2.739405815e+00	7.501608968e+00	-7.816936285e+00	-7.377758908e+00
