walker	cdf_0	cdf_1	log_l	log_p
27	1.978190868e+01	-1.527902424e+01	-8.324278167e+00	-7.377758908e+00
28	1.801544605e+01	1.349752857e+01	-8.324278167e+00	-7.377758908e+00
29	-4.934039487e+00	-3.962863644e-01	-1.139339819e+01	-7.377758908e+00
30	-2.526994813e+00	2.815138861e+00	-7.009185855e+00	-7.377758908e+00
31	1.038337342e+01	1.363373036e+00	-8.324278167e+00	-7.377758908e+00
32	1.673399546e+01	-5.593769843e+00	-8.324278167e+00	-7.377758908e+00
33	-1.421768132e+01	-1.054969962e+01	-1.139400239e+01	-7.377758908e+00
34	1.676052909e+01	-2.357524305e+00	-8.324278167e+00	-7.377758908e+00
35	-7.937917501e+00	-1.273450515e+01	-1.139400239e+01	-7.377758908e+00
36	-1.929181829e+01	1.523229516e+01	-1.139400239e+01	-7.377758908e+00
37	5.049658206e+00	1.947856288e+01	-8.324278167e+00	-7.377758908e+00
38	1.801092416e+01	1.450180362e+01	-8.324278167e+00	-7.377758908e+00
39	1.219266803e+00	-1.015996727e+01	1.327455643e+00	-7.377758908e+00
40	-1.967381422e+00	1.133294111e+01	-1.125863252e+01	-7.377758908e+00
41	-1.023850448e+01	1.080906530e+01	-1.139409558e+01	-7.377758908e+00
42	-1.960190071e+01	-1.013494771e+01	-1.139400239e+01	-7.377758908e+00
43	1.520002849e+01	1.011873375e+00	-8.324278167e+00	-7.377758908e+00
44	-7.192375781e+00	-1.159122453e+01	-1.139400239e+01	-7.377758908e+00
45	1.940140672e+01	1.472719954e+01	-8.324278167e+00	-7.377758908e+00
46	1.551884296e+01	-2.223749068e+00	-8.324278167e+00	-7.377758908e+00
47	1.270049818e+01	1.794921806e+01	-8.324278167e+00	-7.377758908e+00
48	1.885122425e+01	-1.403287595e+01	-8.324278167e+00	-7.377758908e+00
49	7.152512716e+00	-9.198101824e+00	-6.098263401e+00	-7.377758908e+00
0	1.895252296e+00	1.772058125e+01	-8.324402303e+00	-7.377758908e+00
1	1.098118383e+01	-1.204915760e+01	-8.316900876e+00	-7.377758908e+00
2	-1.740400921e+01	-3.094948149e+00	-1.139400239e+01	-7.377758908e+00
3	3.318017249e+00	-9.266275303e+00	4.726117088e+00	-7.377758908e+00
4	-4.895517725e+00	-3.347056905e+00	-1.139385533e+01	-7.377758908e+00
5	1.609193112e+01	-1.557980753e+01	-8.324278166e+00	-7.377758908e+00
6	1.475148214e+01	-1.366015574e+01	-8.324278165e+00	-7.377758908e+00
7	-5.702172701e+00	1.960078628e+01	-2.316818451e+01	-7.377758908e+00
8	3.008582619e+00	1.158646384e+01	-8.324294345e+00	-7.377758908e+00
9	7.442024558e+00	1.936055650e+01	-8.324278167e+00	-7.377758908e+00
10	1.312937065e-01	1.274433211e+01	-8.427255625e+00	-7.377758908e+00
11	-1.202575800e+00	1.638766641e+00	-2.186544304e+00	-7.377758908e+00
12	-1.058777064e+01	2.317356321e+00	-1.139400239e+01	-7.377758908e+00
13	8.989948128e-02	-1.354515760e+00	1.344233099e+00	-7.377758908e+00
14	1.917149015e+01	5.208292962e+00	-8.324278167e+00	-7.377758908e+00
15	2.384017553e+00	-1.286556748e+01	3.115623412e+00	-7.377758908e+00
16	-1.585854020e+01	1.395775458e+01	-1.139400239e+01	-7.377758908e+00
17	6.852215444e+00	-9.231778962e-01	-8.324278149e+00	-7.377758908e+00
18	1.416340807e+01	1.511786941e+01	-8.324278167e+00	-7.377758908e+00
19	5.691729511e+00	7.709256665e+00	-8.324278167e+00	-7.377758908e+00
20	-2.790657326e-01	1.096329568e+01	-8.658617276e+00	-7.377758908e+00
21	-1.464693829e+00	3.866749482e-01	-3.082337693e+00	-7.377758908e+00
22	1.249273376e+01	-6.735127262e-01	-8.324278167e+00	-7.377758908e+00
23	-1.517569872e+01	-8.758416759e+00	-1.139400239e+01	-7.377758908e+00
