walker	cdf_0	cdf_1	log_l	log_p
8	-7.200309855e+00	-1.317960974e+01	-1.137678112e+01	-7.377758908e+00
9	1.553960990e+00	-2.024593840e+00	8.919134923e-01	-7.377758908e+00
0	-8.945499874e+00	5.334426980e+00	-1.137678113e+01	-7.377758908e+00
1	2.928626769e+00	-1.157748607e+01	5.046545158e+00	-7.377758908e+00
2	1.864756935e+01	1.159850077e+01	-7.816639694e+00	-7.377758908e+00
3	3.175302800e+00	-8.321706279e+00	4.960046775e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.673557941e+01	1.429625698e+00	-7.816639694e+00	-7.377758908e+00
6	-4.931830600e-01	7.697968358e+00	-8.723198762e+00	-7.377758908e+00
7	5.331886181e+00	-1.360531225e+01	5.388222553e+00	-7.377758908e+00
8	-5.171510060e+00	-1.213831111e+01	-1.137678092e+01	-7.377758908e+00
9	2.146683145e+00	-6.143566575e+00	4.578440770e+00	-7.377758908e+00
0	-1.161277163e+01	9.133331052e+00	-1.137678112e+01	-7.377758908e+00
1	4.346060402e+00	-1.359628838e+01	5.754029538e+00	-7.377758908e+00
2	1.689921855e+01	9.347537095e+00	-7.816639694e+00	-7.377758908e+00
3	2.724705005e+00	-8.338924799e+00	5.148114920e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.673557941e+01	1.429625698e+00	-7.816639694e+00	-7.377758908e+00
6	1.772675245e-02	5.466909203e+00	-8.307749224e+00	-7.377758908e+00
7	5.331886181e+00	-1.360531225e+01	5.388222553e+00	-7.377758908e+00
8	8.472241599e-01	-8.410668250e+00	1.597595298e+00	-7.377758908e+00
9	2.146683145e+00	-6.143566575e+00	4.578440770e+00	-7.377758908e+00
0	-1.161277163e+01	9.133331052e+00	-1.137678112e+01	-7.377758908e+00
1	4.346060402e+00	-1.359628838e+01	5.754029538e+00	-7.377758908e+00
2	1.661434248e+01	9.048399043e+00	-7.816639694e+00	-7.377758908e+00
3	2.724705005e+00	-8.338924799e+00	5.148114920e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.673557941e+01	1.429625698e+00	-7.816639694e+00	-7.377758908e+00
6	7.575155557e-01	2.811848496e+00	-6.939836718e+00	-7.377758908e+00
7	5.331886181e+00	-1.360531225e+01	5.388222553e+00	-7.377758908e+00
8	8.472241599e-01	-8.410668250e+00	1.597595298e+00	-7.377758908e+00
9	2.146683145e+00	-6.143566575e+00	4.578440770e+00	-7.377758908e+00
0	-4.992501203e+00	2.493530139e-01	-1.137590665e+01	-7.377758908e+00
1	5.034113064e+00	-1.592779611e+01	5.875032503e+00	-7.377758908e+00
2	1.356994833e+01	5.677314911e+00	-7.816639694e+00	-7.377758908e+00
3	2.553581022e+00	-7.993262133e+00	5.071420821e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.673557941e+01	1.429625698e+00	-7.816639694e+00	-7.377758908e+00
6	6.879829625e-01	3.205985514e+00	-7.305998623e+00	-7.377758908e+00
7	5.331886181e+00	-1.360531225e+01	5.388222553e+00	-7.377758908e+00
8	8.472241599e-01	-8.410668250e+00	1.597595298e+00	-7.377758908e+00
9	2.146683145e+00	-6.143566575e+00	4.578440770e+00	-7.377758908e+00
0	-4.108974755e+00	-1.060872613e+00	-1.134578020e+01	-7.377758908e+00
1	5.150356525e+00	-1.632169406e+01	5.891062718e+00	-7.377758908e+00
2	1.356994833e+01	5.677314911e+00	-7.816639694e+00	-7.377758908e+00
3	2.553581022e+00	-7.993262133e+00	5.071420821e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.038956753e+01	-1.864630924e+00	-7.816639694e+00	-7.377758908e+00
6	-9.265738045e-02	7.892195643e+00	-8.297732784e+00	-7.377758908e+00
7	5.331886181e+00	-1.360531225e+01	5.388222553e+00	-7.377758908e+00
8	8.472241599e-01	-8.410668250e+00	1.597595298e+00	-7.377758908e+00
9	2.146683145e+00	-6.143566575e+00	4.578440770e+00	-7.377758908e+00
0	-9.381091415e+00	5.650418506e+00	-1.137678112e+01	-7.377758908e+00
1	5.150356525e+00	-1.632169406e+01	5.891062718e+00	-7.377758908e+00
2	1.207159072e+01	1.762352861e+00	-7.816639694e+00	-7.377758908e+00
3	8.308165539e-01	-9.759033278e+00	7.291700745e-01	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.558841531e+01	-6.703704357e+00	-7.816639694e+00	-7.377758908e+00
6	-9.265738045e-02	7.892195643e+00	-8.297732784e+00	-7.377758908e+00
7	3.108877836e+00	-1.024904373e+01	5.388572263e+00	-7.377758908e+00
8	1.915796348e+00	-1.037516793e+01	3.658413390e+00	-7.377758908e+00
9	2.183681669e+00	-6.311756213e+00	4.637182700e+00	-7.377758908e+00
0	-9.381091415e+00	5.650418506e+00	-1.137678112e+01	-7.377758908e+00
1	5.150356525e+00	-1.632169406e+01	5.891062718e+00	-7.377758908e+00
2	1.304652702e+01	-5.846127758e-01	-7.816639694e+00	-7.377758908e+00
3	8.308165539e-01	-9.759033278e+00	7.291700745e-01	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.898188440e+01	-6.371658694e+00	-7.816639694e+00	-7.377758908e+00
6	-9.265738045e-02	7.892195643e+00	-8.297732784e+00	-7.377758908e+00
7	3.108877836e+00	-1.024904373e+01	5.388572263e+00	-7.377758908e+00
8	1.915796348e+00	-1.037516793e+01	3.658413390e+00	-7.377758908e+00
9	3.340157673e+00	-7.902177283e+00	4.486906132e+00	-7.377758908e+00
0	-1.181493366e+01	2.319481996e+00	-1.137678112e+01	-7.377758908e+00
1	2.559802348e+00	-1.240467572e+01	4.184469016e+00	-7.377758908e+00
2	8.864272391e+00	-3.725630460e+00	-7.816639692e+00	-7.377758908e+00
3	1.100119494e+00	-1.017111260e+01	1.421348067e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.973083963e+01	-6.188707355e+00	-7.816639694e+00	-7.377758908e+00
6	-6.038390821e-01	1.766289398e+01	-7.964222242e+00	-7.377758908e+00
7	3.108877836e+00	-1.024904373e+01	5.388572263e+00	-7.377758908e+00
8	1.915796348e+00	-1.037516793e+01	3.658413390e+00	-7.377758908e+00
9	3.012578545e+00	-8.470923504e+00	5.128506592e+00	-7.377758908e+00
0	-1.357973773e+01	3.951119201e+00	-1.137678112e+01	-7.377758908e+00
1	2.559802348e+00	-1.240467572e+01	4.184469016e+00	-7.377758908e+00
2	6.484645217e+00	-6.422802883e+00	-7.440184416e+00	-7.377758908e+00
3	7.936495346e-01	-5.164954000e+00	3.102218556e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.569758591e+01	-7.136505091e+00	-7.816639694e+00	-7.377758908e+00
6	-6.038390821e-01	1.766289398e+01	-7.964222242e+00	-7.377758908e+00
7	3.108877836e+00	-1.024904373e+01	5.388572263e+00	-7.377758908e+00
8	1.915796348e+00	-1.037516793e+01	3.658413390e+00	-7.377758908e+00
9	3.621176781e+00	-7.929875535e+00	4.000739734e+00	-7.377758908e+00
0	-1.357973773e+01	3.951119201e+00	-1.137678112e+01	-7.377758908e+00
1	2.559802348e+00	-1.240467572e+01	4.184469016e+00	-7.377758908e+00
2	4.543473251e+00	-8.102048673e+00	1.671569884e+00	-7.377758908e+00
3	7.936495346e-01	-5.164954000e+00	3.102218556e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	9.683621039e+00	-2.163065686e+00	-7.816639694e+00	-7.377758908e+00
6	9.674219783e-02	1.341916667e+01	-7.910915501e+00	-7.377758908e+00
7	3.108877836e+00	-1.024904373e+01	5.388572263e+00	-7.377758908e+00
8	1.915796348e+00	-1.037516793e+01	3.658413390e+00	-7.377758908e+00
9	3.621176781e+00	-7.929875535e+00	4.000739734e+00	-7.377758908e+00
0	-1.357973773e+01	3.951119201e+00	-1.137678112e+01	-7.377758908e+00
1	3.029277188e+00	-1.138637418e+01	5.203162698e+00	-7.377758908e+00
2	4.543473251e+00	-8.102048673e+00	1.671569884e+00	-7.377758908e+00
