walker	cdf_0	cdf_1	log_l	log_p
0	9.085133492e+00	9.773740961e+00	-7.816639694e+00	-7.377758908e+00
1	8.728988362e+00	-1.845008895e+01	3.688782048e+00	-7.377758908e+00
2	1.451157828e+01	-1.064559172e+01	-7.816639694e+00	-7.377758908e+00
3	6.641268233e+00	-8.669981681e+00	-4.917255049e+00	-7.377758908e+00
4	2.627817240e+00	4.538100718e-01	-7.545528420e+00	-7.377758908e+00
5	4.812769501e+00	-8.703170645e+00	1.783298813e+00	-7.377758908e+00
6	-1.744676974e-01	-1.143455938e+01	-4.151433453e+00	-7.377758908e+00
7	1.007579933e+01	-8.339943579e+00	-7.816622002e+00	-7.377758908e+00
8	-1.554416422e+01	-1.118131995e+01	-1.137678112e+01	-7.377758908e+00
9	-4.010354153e-01	2.205501353e+00	-2.207916522e+00	-7.377758908e+00
10	-1.482108687e+01	-3.377781360e+00	-1.137678112e+01	-7.377758908e+00
11	1.417917581e+01	-9.947344119e+00	-7.816639694e+00	-7.377758908e+00
12	4.535152318e-01	7.056355377e+00	-8.038750940e+00	-7.377758908e+00
13	-1.242090642e+01	1.370799766e+01	-1.137679490e+01	-7.377758908e+00
14	-1.499630991e+01	-7.759216621e-01	-1.137678112e+01	-7.377758908e+00
15	-1.822815044e+01	1.489099473e+00	-1.137678112e+01	-7.377758908e+00
16	-1.135685082e+01	9.900118522e+00	-1.137678115e+01	-7.377758908e+00
17	7.394785068e+00	-1.697237366e+01	4.714356804e+00	-7.377758908e+00
18	9.373223678e+00	-8.983547053e+00	-7.813546163e+00	-7.377758908e+00
19	-9.345255770e+00	1.026113247e+01	-1.137757895e+01	-7.377758908e+00
20	3.197669521e+00	4.388986257e+00	-7.816848816e+00	-7.377758908e+00
21	2.433691701e+00	-5.475048472e+00	3.783808168e+00	-7.377758908e+00
22	6.079973490e+00	-4.296401822e+00	-7.792504038e+00	-7.377758908e+00
23	1.571956142e+01	-1.675875347e+01	-7.816639054e+00	-7.377758908e+00
24	2.925519797e+00	1.822880990e+01	-7.816640723e+00	-7.377758908e+00
25	1.591093029e+01	1.372347561e+01	-7.816639694e+00	-7.377758908e+00
26	9.551152495e+00	8.509210224e+00	-7.816639694e+00	-7.377758908e+00
27	6.550116719e-01	1.030671573e+01	-7.878081585e+00	-7.377758908e+00
28	7.822592795e+00	-6.114044740e+00	-7.815074812e+00	-7.377758908e+00
29	8.789442013e+00	-5.865521383e+00	-7.816633324e+00	-7.377758908e+00
30	-1.084644236e+01	1.502319614e+01	-1.141435836e+01	-7.377758908e+00
31	1.990644513e+01	-1.390027931e+01	-7.816639694e+00	-7.377758908e+00
32	4.076704876e+00	6.274967158e-01	-7.815969822e+00	-7.377758908e+00
33	-2.443462119e+00	-2.691914153e+00	-8.840372325e+00	-7.377758908e+00
34	1.506989055e+00	-8.947119490e+00	3.308007899e+00	-7.377758908e+00
35	-5.657933654e+00	-1.631236767e+01	-1.137678112e+01	-7.377758908e+00
36	-1.411127115e+01	1.083024256e+00	-1.137678112e+01	-7.377758908e+00
37	-8.924162654e+00	8.429537361e+00	-1.137684363e+01	-7.377758908e+00
38	-1.888229122e+01	1.107623233e+01	-1.137678112e+01	-7.377758908e+00
39	-6.045977235e+00	-1.508094673e+01	-1.137678112e+01	-7.377758908e+00
40	-5.702321811e+00	4.709320762e+00	-1.137975043e+01	-7.377758908e+00
41	3.802761055e+00	-8.149530987e-01	-7.754627819e+00	-7.377758908e+00
42	-5.785375614e+00	6.502764799e+00	-1.142404938e+01	-7.377758908e+00
43	5.662974006e+00	-3.575479314e+00	-7.793009603e+00	-7.377758908e+00
44	1.035374563e+01	-7.644255960e+00	-7.816639333e+00	-7.377758908e+00
45	1.953223928e+01	-1.305146543e+01	-7.816639694e+00	-7.377758908e+00
46	-3.435924862e+00	-3.282437911e+00	-1.118891104e+01	-7.377758908e+00
47	2.011200182e+00	7.132538820e+00	-7.821002381e+00	-7.377758908e+00
48	-8.845933586e+00	7.611450216e+00	-1.137679181e+01	-7.377758908e+00
49	5.253982299e+00	1.164267003e+01	-7.816639694e+00	-7.377758908e+00
0	9.085133492e+00	9.773740961e+00	-7.816639694e+00	-7.377758908e+00
1	8.728988362e+00	-1.845008895e+01	3.688782048e+00	-7.377758908e+00
2	8.277939805e+00	-9.831443601e+00	-7.184734307e+00	-7.377758908e+00
3	5.002812086e+00	-1.322120110e+01	5.512102997e+00	-7.377758908e+00
4	2.718701409e+00	-5.305783851e-01	-6.869704288e+00	-7.377758908e+00
5	4.459966106e+00	-1.083097272e+01	4.949949652e+00	-7.377758908e+00
6	2.596596599e+00	-1.772560032e+01	1.913007108e+00	-7.377758908e+00
7	4.154991393e+00	-9.950017922e+00	4.793940179e+00	-7.377758908e+00
8	-1.554416422e+01	-1.118131995e+01	-1.137678112e+01	-7.377758908e+00
9	-4.010354153e-01	2.205501353e+00	-2.207916522e+00	-7.377758908e+00
10	-1.315781126e+01	-2.339208336e+00	-1.137678112e+01	-7.377758908e+00
11	1.623127600e+01	-9.624955609e+00	-7.816639694e+00	-7.377758908e+00
12	4.535152318e-01	7.056355377e+00	-8.038750940e+00	-7.377758908e+00
13	-1.242090642e+01	1.370799766e+01	-1.137679490e+01	-7.377758908e+00
14	-1.499630991e+01	-7.759216621e-01	-1.137678112e+01	-7.377758908e+00
15	-1.822815044e+01	1.489099473e+00	-1.137678112e+01	-7.377758908e+00
16	-1.135685082e+01	9.900118522e+00	-1.137678115e+01	-7.377758908e+00
17	3.634305355e+00	-1.111884850e+01	5.552323934e+00	-7.377758908e+00
18	4.172139942e+00	-1.151946687e+01	5.503734262e+00	-7.377758908e+00
19	-9.345255770e+00	1.026113247e+01	-1.137757895e+01	-7.377758908e+00
20	9.347419485e+00	1.509894650e+00	-7.816639694e+00	-7.377758908e+00
21	2.433691701e+00	-5.475048472e+00	3.783808168e+00	-7.377758908e+00
22	6.145517343e+00	-4.428652593e+00	-7.791374480e+00	-7.377758908e+00
23	1.571956142e+01	-1.675875347e+01	-7.816639054e+00	-7.377758908e+00
24	2.925519797e+00	1.822880990e+01	-7.816640723e+00	-7.377758908e+00
25	1.591093029e+01	1.372347561e+01	-7.816639694e+00	-7.377758908e+00
26	1.244351541e+01	1.927888258e+01	-7.816639694e+00	-7.377758908e+00
27	6.550116719e-01	1.030671573e+01	-7.878081585e+00	-7.377758908e+00
28	7.219906086e+00	-9.127401581e+00	-5.856976464e+00	-7.377758908e+00
29	8.985952919e+00	-2.157036853e+00	-7.816639694e+00	-7.377758908e+00
