walker	cdf_0	cdf_1	model1_0	model2_0	log_l	log_p
0	-3.155292076e-01	4.978146478e-01	5.475106905e+00	-6.799130173e-01	-6.843575804e+01	-5.230441943e+00
1	-7.821711108e-01	-5.415239877e-01	3.728695159e+00	9.268504271e-01	-1.759617023e+01	-5.509272829e+00
2	-7.766368136e-01	-1.102388502e+00	1.145338875e+00	-8.546236000e-01	-7.792043932e+01	-5.965965466e+00
3	-2.264765532e+00	-8.757097227e-02	5.488657416e+00	-6.163632245e-01	-4.416991910e+01	-7.625168687e+00
4	3.992102518e-01	1.211199773e+00	3.402778336e+00	-3.179395251e-01	-1.105124554e+02	-5.869939749e+00
5	-4.146410497e-01	1.626678495e+00	4.100722850e+00	3.370504680e-01	-1.125344792e+02	-6.465757954e+00
6	2.352520999e+00	1.019708441e+00	4.990926750e+00	-8.285552466e-01	-1.354126528e+02	-8.343833070e+00
7	9.898116821e-01	-1.399552314e-01	1.744303169e+00	2.219866863e+00	-6.847760857e+01	-5.556410208e+00
8	-1.359002625e+00	6.085143208e-01	5.519039440e+00	2.028785554e+00	-4.702777759e+01	-6.165341798e+00
9	1.306994996e-01	3.936345607e-01	5.363569650e+00	-1.610339292e+00	-8.513184047e+01	-5.142768155e+00
10	7.049501524e-01	9.947781785e-01	4.876463489e+00	1.513350966e+00	-1.173592022e+02	-5.800022062e+00
11	-1.229044473e+00	-5.721733899e-03	5.437192790e+00	-6.955510179e-02	-2.508829655e+01	-5.812044419e+00
12	-1.058876896e-01	3.171290673e-01	3.807850235e+00	1.756955576e-01	-3.356986153e+01	-5.112644415e+00
13	4.875977001e-01	-1.806539684e-01	5.005677747e+00	3.031159275e-01	-1.096012867e+01	-5.191946578e+00
14	-2.959629193e-01	-2.130653145e-01	1.709810189e+00	6.953286374e-01	-5.134742816e+01	-5.123248330e+00
15	-1.311501673e-01	-1.072702828e+00	3.128891336e+00	-1.034963683e+00	-5.452432908e+01	-5.640698753e+00
16	1.697126049e+00	-1.981587425e-01	4.815365336e+00	-4.880347773e-01	-2.666291711e+01	-6.516504747e+00
17	1.105750185e+00	1.527339924e+00	3.180126417e+00	1.786140566e+00	-1.076454893e+02	-6.834478249e+00
18	7.818833134e-02	2.162356991e+00	3.161853961e+00	1.696411093e+00	-1.107158801e+02	-7.397703478e+00
19	2.781055977e-01	1.059172036e-01	5.008630671e+00	-1.136870049e-01	-2.555312652e+01	-5.101033480e+00
20	-1.703951092e+00	-1.417178465e+00	2.607748151e+00	-2.155232566e-01	-4.898974953e+01	-7.512674954e+00
21	4.700232404e-01	-4.306524842e-01	3.978211562e+00	-4.321982877e-01	-2.650851577e+01	-5.259944596e+00
22	7.979742267e-01	9.782222504e-01	4.617823152e+00	1.256049994e+00	-1.137052497e+02	-5.853593710e+00
23	7.829840469e-01	1.661444044e+00	2.459065942e+00	2.490883777e+00	-1.246007967e+02	-6.743483055e+00
24	-4.541083206e-01	-1.968245417e-02	5.365632128e+00	2.071912244e+00	-1.373657903e+01	-5.160053774e+00
25	6.689381790e-01	1.340847591e+00	3.540180419e+00	8.407132337e-01	-1.049341141e+02	-6.179428166e+00
26	-2.467222435e+00	2.284391811e-01	4.597608821e+00	2.145788466e+00	-2.713493206e+01	-8.126438394e+00
27	3.278565585e-02	-5.183559410e-01	1.562987913e+00	9.799167218e-01	-5.487179155e+01	-5.191636782e+00
28	1.855108724e+00	-1.280223240e+00	3.232434006e+00	-1.122969183e+00	-5.345305329e+01	-7.596952853e+00
29	-4.612902142e-01	1.381404352e+00	5.254066956e+00	-7.247639735e-01	-1.473857156e+02	-6.117286214e+00
30	-4.222185774e-01	-4.519473490e-01	2.439108309e+00	-6.078247792e-01	-5.167625989e+01	-5.248015358e+00
31	-1.723388590e+00	6.759153825e-01	4.634638425e+00	1.693728284e+00	-4.377736728e+01	-6.770217810e+00
32	-4.153426856e-02	8.814600940e-01	3.357820834e+00	2.354614855e+00	-1.022988919e+02	-5.446101388e+00
33	3.785350752e-01	-2.993731729e+00	1.949412812e+00	3.861951797e-01	-5.120652119e+01	-9.609612125e+00
34	1.429346462e-01	1.394934980e+00	2.917320246e+00	2.331597051e+00	-1.153592382e+02	-6.039889847e+00
35	6.285325516e-01	2.121594275e+00	3.084442038e+00	2.012825432e+00	-1.113758669e+02	-7.504860610e+00
36	-6.566223250e-01	6.009087767e-01	3.159388024e+00	2.648456182e+00	-6.443231020e+01	-5.452875009e+00
37	6.581803717e-01	-2.631875364e-01	4.483942988e+00	1.759841592e+00	-4.842706952e+00	-5.307987432e+00
38	7.215177062e-01	1.103404770e+00	2.643279504e+00	1.351943564e+00	-1.142700494e+02	-5.925797835e+00
39	5.565496948e-01	-9.675143276e-01	5.573995385e+00	1.253727549e+00	-1.033854596e+01	-5.679668660e+00
40	-4.319175084e-01	1.211984465e+00	4.431019825e+00	-1.251493567e+00	-1.300690473e+02	-5.884482430e+00
41	2.438833350e+00	1.584886879e-01	1.565338869e+00	-1.472346452e+00	-9.486574131e+01	-8.043266278e+00
42	2.580628052e+00	-7.399620499e-02	2.728556550e+00	1.150075621e+00	-4.094960588e+01	-8.389311183e+00
43	6.050449906e-01	6.869133087e-01	4.230384944e+00	1.603820467e+00	-7.555551954e+01	-5.475717558e+00
44	3.490787817e-01	1.278501170e+00	3.054491580e+00	2.349428362e+00	-1.130854691e+02	-5.934963510e+00
45	4.186828597e-01	1.735420209e+00	4.650678530e+00	-1.856765254e+00	-1.420930494e+02	-6.650242211e+00
46	-1.120572104e-01	2.374642733e-03	4.183378468e+00	-7.003105736e-01	-3.263819576e+01	-5.063034120e+00
47	6.315863876e-01	9.896229495e-01	3.513239898e+00	1.702413713e-03	-1.074960065e+02	-5.745880365e+00
48	4.050141486e-01	2.300432986e-01	5.970630598e+00	1.331267436e+00	-3.059863196e+01	-5.165231081e+00
49	1.232348244e+00	-5.159088199e-01	3.075378937e+00	-1.445825934e+00	-5.327206409e+01	-5.949174944e+00
0	-3.155292076e-01	4.978146478e-01	5.475106905e+00	-6.799130173e-01	-6.843575804e+01	-5.230441943e+00
1	-7.821711108e-01	-5.415239877e-01	3.728695159e+00	9.268504271e-01	-1.759617023e+01	-5.509272829e+00
2	-3.767036287e-01	-8.138197867e-01	1.351697997e+00	5.181720359e-02	-6.224231514e+01	-5.458857026e+00
3	-2.264765532e+00	-8.757097227e-02	5.488657416e+00	-6.163632245e-01	-4.416991910e+01	-7.625168687e+00
4	3.992102518e-01	1.211199773e+00	3.402778336e+00	-3.179395251e-01	-1.105124554e+02	-5.869939749e+00
5	-4.146410497e-01	1.626678495e+00	4.100722850e+00	3.370504680e-01	-1.125344792e+02	-6.465757954e+00
6	2.352520999e+00	1.019708441e+00	4.990926750e+00	-8.285552466e-01	-1.354126528e+02	-8.343833070e+00
7	8.914061190e-01	1.703432838e-01	2.230235396e+00	1.610530434e+00	-5.851039032e+01	-5.468563743e+00
8	-1.359002625e+00	6.085143208e-01	5.519039440e+00	2.028785554e+00	-4.702777759e+01	-6.165341798e+00
