walker	cdf_0	cdf_1	log_l	log_p
0	-1.526117228e+01	-1.494447074e+01	-1.137678112e+01	-7.377758908e+00
1	1.233925604e+01	1.726570486e+01	-7.816639694e+00	-7.377758908e+00
2	1.069342403e+01	-7.201587943e+00	-7.816639686e+00	-7.377758908e+00
3	1.090613232e+01	-1.226850526e+01	-7.799310195e+00	-7.377758908e+00
4	1.090427487e+01	1.324636082e+01	-7.816639694e+00	-7.377758908e+00
5	-8.006473382e-01	1.897295526e+01	-7.979656896e+00	-7.377758908e+00
6	5.561364919e+00	-9.749224791e+00	1.051915093e+00	-7.377758908e+00
7	-6.984813292e+00	1.201667938e+01	-1.280935349e+01	-7.377758908e+00
8	-8.510516151e+00	9.808357333e+00	-1.138191503e+01	-7.377758908e+00
9	-9.431940511e-01	7.529339928e+00	-9.393218622e+00	-7.377758908e+00
10	3.644962136e+00	-4.070636212e+00	-3.218862224e+00	-7.377758908e+00
11	-1.034103070e+01	-1.840059849e+01	-1.137678112e+01	-7.377758908e+00
12	-3.926867378e-01	-9.229186036e+00	-3.813108599e+00	-7.377758908e+00
13	-6.824949853e+00	1.648043695e+01	-2.175400630e+01	-7.377758908e+00
14	-1.577230033e+01	6.194477600e+00	-1.137678112e+01	-7.377758908e+00
15	4.606545150e+00	1.468567928e+01	-7.816639695e+00	-7.377758908e+00
16	2.623924283e+00	-9.004662202e+00	5.151642218e+00	-7.377758908e+00
17	7.463647455e-02	1.130108382e+01	-7.979036281e+00	-7.377758908e+00
18	-1.136103155e+01	-1.097247411e+01	-1.137678112e+01	-7.377758908e+00
19	-1.795836028e+01	8.703667005e+00	-1.137678112e+01	-7.377758908e+00
20	-1.701135657e+00	-1.545422237e+01	-1.050543675e+01	-7.377758908e+00
21	1.283795429e+00	-3.580754194e+00	3.489540179e+00	-7.377758908e+00
22	1.752349950e+00	1.177772449e+01	-7.818513666e+00	-7.377758908e+00
23	6.595099049e+00	-7.624938851e+00	-6.465188226e+00	-7.377758908e+00
24	-5.794129490e+00	8.156346299e+00	-1.171139049e+01	-7.377758908e+00
25	1.958231305e+01	-1.102535777e+01	-7.816639694e+00	-7.377758908e+00
26	1.549663433e+01	1.104253148e+01	-7.816639694e+00	-7.377758908e+00
27	1.769954217e+01	-2.262919286e+00	-7.816639694e+00	-7.377758908e+00
28	1.211670309e+00	-3.409045217e+00	3.400718612e+00	-7.377758908e+00
29	1.105739340e+01	1.286762945e+01	-7.816639694e+00	-7.377758908e+00
30	-4.738663733e+00	6.491515710e+00	-1.172238097e+01	-7.377758908e+00
31	9.406969722e+00	6.333814604e+00	-7.816639694e+00	-7.377758908e+00
32	1.521784885e+01	1.164396349e+01	-7.816639694e+00	-7.377758908e+00
33	-1.351752291e+01	1.215743878e+01	-1.137678112e+01	-7.377758908e+00
34	1.084539024e+01	1.346723713e+01	-7.816639694e+00	-7.377758908e+00
35	1.073411472e+01	-1.553245262e+01	-5.369909377e+00	-7.377758908e+00
36	-1.196543117e+01	1.264928345e+01	-1.137678729e+01	-7.377758908e+00
37	2.963004964e+00	-9.716764843e-01	-6.858418433e+00	-7.377758908e+00
38	1.969755134e+01	-1.510207680e+01	-7.816639694e+00	-7.377758908e+00
39	4.077825310e-01	-3.185265382e+00	2.661094830e+00	-7.377758908e+00
40	9.127635872e-01	-7.957817603e+00	2.081924693e+00	-7.377758908e+00
41	4.130724165e+00	-6.847609085e+00	8.663704065e-01	-7.377758908e+00
42	8.706260953e+00	-3.979253712e+00	-7.816639681e+00	-7.377758908e+00
43	9.089022635e+00	-7.037579496e+00	-7.816587450e+00	-7.377758908e+00
44	-1.279624883e+01	1.387391549e+01	-1.137678503e+01	-7.377758908e+00
45	1.723302390e+01	-1.423446677e+01	-7.816639694e+00	-7.377758908e+00
46	2.771000221e+00	-1.958926350e+01	1.507116174e+00	-7.377758908e+00
47	-1.455960822e+01	-1.434988730e+01	-1.137678112e+01	-7.377758908e+00
48	1.301111586e+01	-1.006805116e+00	-7.816639694e+00	-7.377758908e+00
49	-9.059757561e+00	8.708154248e+00	-1.137685168e+01	-7.377758908e+00
0	-1.526117228e+01	-1.494447074e+01	-1.137678112e+01	-7.377758908e+00
1	1.203523398e+01	1.100033407e+01	-7.816639694e+00	-7.377758908e+00
2	1.069342403e+01	-7.201587943e+00	-7.816639686e+00	-7.377758908e+00
3	1.090613232e+01	-1.226850526e+01	-7.799310195e+00	-7.377758908e+00
4	1.465743712e+01	1.731381574e+01	-7.816639694e+00	-7.377758908e+00
5	-8.006473382e-01	1.897295526e+01	-7.979656896e+00	-7.377758908e+00
6	6.384276179e+00	-1.252911036e+01	2.720289679e+00	-7.377758908e+00
7	-3.427575596e+00	4.701666862e+00	-9.902275173e+00	-7.377758908e+00
8	-8.510516151e+00	9.808357333e+00	-1.138191503e+01	-7.377758908e+00
9	-1.682292372e+01	4.135841474e+00	-1.137678112e+01	-7.377758908e+00
