walker	cdf_0	cdf_1	model1_0	model2_0	log_l	log_p
0	-4.740826797e-01	-1.490864480e+00	4.325030509e+00	-1.071803848e+00	-4.864996753e+01	-6.280468534e+00
1	3.560948762e-01	-1.448530697e-01	2.192732513e+00	2.598502117e+00	-5.851923432e+01	-5.130645878e+00
2	-2.815012003e-02	-1.838617837e-01	4.566908506e+00	-2.966688443e-01	-2.214446739e+01	-5.074051684e+00
3	-3.218025497e-01	4.804230061e-01	2.292577720e+00	-2.934500852e-01	-6.738481937e+01	-5.223934464e+00
4	3.276971370e-01	-4.163033110e-02	4.629515023e+00	-4.067240363e-01	-2.531935371e+01	-5.111312140e+00
5	7.825538416e-01	-4.779329518e-01	3.141457982e+00	8.283776960e-01	-2.000751622e+01	-5.477158102e+00
6	1.385858812e+00	2.038451494e+00	4.449836283e+00	-1.023442606e+00	-1.249913753e+02	-8.094697462e+00
7	-2.661863362e-01	5.802576330e-01	3.932229935e+00	4.108302332e-01	-5.287304807e+01	-5.260529934e+00
8	7.791709645e-01	2.752257481e-01	3.252468292e+00	9.939016288e-01	-3.859745562e+01	-5.398181193e+00
9	-9.955431840e-01	-1.487312302e-01	1.284810088e+00	9.694497967e-01	-6.572464293e+01	-5.563366496e+00
10	-1.351444352e+00	-2.238585953e-01	4.149955361e+00	-1.293210732e+00	-5.600771109e+01	-5.995010145e+00
11	1.749475349e+00	-6.288856750e-01	2.423573888e+00	-9.352170292e-01	-5.213300429e+01	-6.784833486e+00
12	6.249228391e-01	4.369188796e-01	2.938814099e+00	1.347109802e+00	-5.758448927e+01	-5.347466222e+00
13	3.934525781e-02	-1.494263017e-01	3.598799406e+00	1.282539927e+00	-1.335217676e+01	-5.068691026e+00
14	1.906354755e-01	-1.849398071e+00	4.457422877e+00	-1.229105342e+00	-5.267799357e+01	-6.785060446e+00
15	-8.254501831e-01	1.052624207e+00	5.028277627e+00	2.796787988e+00	-1.214376081e+02	-5.951445754e+00
16	-1.959600390e+00	2.256851280e-01	2.674103489e+00	-1.228273268e+00	-5.898048576e+01	-7.002236623e+00
17	1.626177411e+00	7.263962642e-02	1.553459869e+00	2.455119368e+00	-9.211416650e+01	-6.381617635e+00
18	-2.007734485e+00	-1.045439841e+00	5.225967989e+00	1.566279159e+00	-3.030745089e+01	-7.618724003e+00
19	-1.529701306e+00	1.068174520e+00	2.306732061e+00	1.869565327e-01	-1.163494549e+02	-6.797244337e+00
20	6.329790791e-01	1.882787735e+00	3.220787211e+00	3.900016047e-02	-1.097488664e+02	-7.029528977e+00
21	-9.303971407e-01	7.497193300e-01	1.630818573e+00	2.470632962e+00	-1.212037326e+02	-5.770611848e+00
22	-9.166047008e-02	-6.174191289e-01	5.445207274e+00	1.889110482e-01	-1.681881911e+01	-5.251556903e+00
23	1.505967600e+00	1.351837103e+00	3.115451229e+00	5.781871534e-01	-1.066739783e+02	-7.104453874e+00
24	3.950656673e-02	3.152221712e-01	5.619879464e+00	-4.087902237e-01	-4.971779826e+01	-5.107215784e+00
25	3.838350560e-01	1.062886769e+00	2.694738276e+00	-9.929429110e-01	-1.228601659e+02	-5.695281708e+00
26	9.318850626e-01	-9.590131806e-01	2.471119098e+00	2.188404281e-02	-3.746033251e+01	-5.950810916e+00
27	-4.333899490e-01	2.411804320e+00	3.008919431e+00	8.652071082e-01	-1.136983542e+02	-8.059066353e+00
28	-2.167463788e-01	-1.461070201e+00	4.634910345e+00	1.425235685e-01	-1.894776856e+01	-6.147605454e+00
29	-4.026353627e-01	-3.572784768e-02	2.275277275e+00	-1.456124100e-01	-4.401201921e+01	-5.138448748e+00
30	-2.064605865e-01	1.049456514e+00	3.315343538e+00	1.847016092e+00	-1.086543845e+02	-5.628745365e+00
31	-7.767268849e-01	9.555743137e-01	2.741423030e+00	-1.728272160e+00	-1.190926804e+02	-5.814966353e+00
32	-2.680671991e-01	-2.194654308e+00	5.399822510e+00	8.962647148e-01	-2.070804131e+01	-7.500936669e+00
33	-2.513978920e-01	5.201285919e-01	4.236391321e+00	-5.838923804e-01	-5.806141182e+01	-5.223620217e+00
34	5.826255784e-01	-2.426328080e-01	1.206462172e+00	-1.665333172e-01	-6.370772062e+01	-5.255914513e+00
35	8.856465114e-01	-4.564892862e-01	1.823236704e+00	5.319019504e-02	-5.019291642e+01	-5.553128997e+00
36	-8.632438998e-01	7.346621619e-01	3.890314903e+00	9.718867399e-02	-6.730783431e+01	-5.699212153e+00
37	9.546501415e-01	-9.184023223e-01	5.596423710e+00	4.199014107e-01	-1.270279997e+01	-5.934162750e+00
38	-7.269471532e-01	-3.123532942e-01	4.733921528e+00	2.227024528e+00	-1.593658544e+01	-5.369761263e+00
39	-1.988298653e+00	1.400815334e+00	2.327125405e+00	1.530464641e-01	-1.294729301e+02	-8.014560458e+00
40	1.863473052e-01	-5.598860054e-01	3.210863423e+00	6.686377236e-01	-2.127602662e+01	-5.230851720e+00
41	-8.738861416e-01	-6.098094201e-01	2.021601075e+00	-1.913308156e+00	-9.339313401e+01	-5.624525150e+00
42	1.226479713e+00	1.021685465e-01	4.711373698e+00	2.741781079e+00	-2.770548414e+01	-5.814098341e+00
43	-1.253287588e+00	-1.814877961e+00	2.143455787e+00	1.463888552e-01	-5.124949965e+01	-7.489008787e+00
44	-2.053100794e+00	4.784902679e-01	4.553185803e+00	4.977641053e-01	-3.029574189e+01	-7.278840796e+00
45	-1.239985898e+00	-7.533166209e-01	1.962039562e+00	-9.958200312e-01	-6.967030434e+01	-6.109278370e+00
46	-1.631634609e+00	-8.325035246e-01	5.143001605e+00	2.187303813e+00	-3.108009298e+01	-6.734399699e+00
47	-1.101870843e+00	-1.840914007e+00	4.341768548e+00	1.561652193e+00	-2.848520915e+01	-7.358294759e+00
48	9.650010202e-01	-3.943156580e-01	4.422546954e+00	1.407171556e+00	-3.289287236e+00	-5.600108795e+00
49	-7.678397993e-02	-1.236913730e+00	4.480982986e+00	2.600633444e-02	-1.949545206e+01	-5.824678569e+00
0	-4.740826797e-01	-1.490864480e+00	4.325030509e+00	-1.071803848e+00	-4.864996753e+01	-6.280468534e+00
1	3.560948762e-01	-1.448530697e-01	2.192732513e+00	2.598502117e+00	-5.851923432e+01	-5.130645878e+00
2	-2.815012003e-02	-1.838617837e-01	4.566908506e+00	-2.966688443e-01	-2.214446739e+01	-5.074051684e+00
3	-3.218025497e-01	4.804230061e-01	2.292577720e+00	-2.934500852e-01	-6.738481937e+01	-5.223934464e+00
4	3.276971370e-01	-4.163033110e-02	4.629515023e+00	-4.067240363e-01	-2.531935371e+01	-5.111312140e+00
5	1.355569237e+00	-1.803806491e-01	3.411081329e+00	9.354918801e-01	-1.657895550e+01	-5.991805459e+00
6	1.385858812e+00	2.038451494e+00	4.449836283e+00	-1.023442606e+00	-1.249913753e+02	-8.094697462e+00
7	-4.957513773e-01	-8.484548044e-02	4.044731420e+00	7.269644782e-01	-1.188113356e+01	-5.183236983e+00
8	7.791709645e-01	2.752257481e-01	3.252468292e+00	9.939016288e-01	-3.859745562e+01	-5.398181193e+00
9	-5.249787225e-01	-3.124306822e-01	2.051659689e+00	8.496828026e-01	-4.408547126e+01	-5.243360686e+00
10	-1.351444352e+00	-2.238585953e-01	4.149955361e+00	-1.293210732e+00	-5.600771109e+01	-5.995010145e+00
11	1.749475349e+00	-6.288856750e-01	2.423573888e+00	-9.352170292e-01	-5.213300429e+01	-6.784833486e+00
12	9.906598968e-01	3.633631369e-01	3.246392244e+00	1.082910756e+00	-4.840456249e+01	-5.613472791e+00
13	3.934525781e-02	-1.494263017e-01	3.598799406e+00	1.282539927e+00	-1.335217676e+01	-5.068691026e+00
14	1.906354755e-01	-1.849398071e+00	4.457422877e+00	-1.229105342e+00	-5.267799357e+01	-6.785060446e+00
15	-4.520106561e-01	7.508318221e-01	4.901938649e+00	2.506951715e+00	-7.673290239e+01	-5.440783920e+00
16	-1.796568173e+00	6.790056386e-02	2.857523722e+00	-1.100044486e+00	-5.542539924e+01	-6.672886734e+00
17	8.351745443e-01	7.154442025e-02	1.854831449e+00	1.633514393e+00	-6.439436832e+01	-5.408070453e+00
18	-2.007734485e+00	-1.045439841e+00	5.225967989e+00	1.566279159e+00	-3.030745089e+01	-7.618724003e+00
19	-1.529701306e+00	1.068174520e+00	2.306732061e+00	1.869565327e-01	-1.163494549e+02	-6.797244337e+00
20	6.329790791e-01	1.882787735e+00	3.220787211e+00	3.900016047e-02	-1.097488664e+02	-7.029528977e+00
21	-9.303971407e-01	7.497193300e-01	1.630818573e+00	2.470632962e+00	-1.212037326e+02	-5.770611848e+00
22	-9.166047008e-02	-6.174191289e-01	5.445207274e+00	1.889110482e-01	-1.681881911e+01	-5.251556903e+00
23	1.505967600e+00	1.351837103e+00	3.115451229e+00	5.781871534e-01	-1.066739783e+02	-7.104453874e+00
24	3.945660913e-02	1.713198707e-01	4.993948062e+00	1.150171572e-01	-2.371661897e+01	-5.072206552e+00
25	3.838350560e-01	1.062886769e+00	2.694738276e+00	-9.929429110e-01	-1.228601659e+02	-5.695281708e+00
26	9.318850626e-01	-9.590131806e-01	2.471119098e+00	2.188404281e-02	-3.746033251e+01	-5.950810916e+00
27	-4.333899490e-01	2.411804320e+00	3.008919431e+00	8.652071082e-01	-1.136983542e+02	-8.059066353e+00
28	-2.167463788e-01	-1.461070201e+00	4.634910345e+00	1.425235685e-01	-1.894776856e+01	-6.147605454e+00
29	-4.026353627e-01	-3.572784768e-02	2.275277275e+00	-1.456124100e-01	-4.401201921e+01	-5.138448748e+00
30	-9.967792793e-02	1.341635880e+00	3.434883146e+00	2.020490312e+00	-1.094220055e+02	-5.961714153e+00
31	-4.857098299e-01	6.880310448e-01	2.816083732e+00	-1.251110672e+00	-8.669096935e+01	-5.411403270e+00
32	-2.680671991e-01	-2.194654308e+00	5.399822510e+00	8.962647148e-01	-2.070804131e+01	-7.500936669e+00
33	-2.513978920e-01	5.201285919e-01	4.236391321e+00	-5.838923804e-01	-5.806141182e+01	-5.223620217e+00
34	-2.068579335e-01	-9.917092906e-01	2.675905893e+00	6.434262344e-01	-3.161639980e+01	-5.569891652e+00
35	8.856465114e-01	-4.564892862e-01	1.823236704e+00	5.319019504e-02	-5.019291642e+01	-5.553128997e+00
36	-8.632438998e-01	7.346621619e-01	3.890314903e+00	9.718867399e-02	-6.730783431e+01	-5.699212153e+00
37	9.663950593e-01	-8.700385801e-01	5.543570644e+00	4.232734298e-01	-1.195876463e+01	-5.902196162e+00
38	-7.269471532e-01	-3.123532942e-01	4.733921528e+00	2.227024528e+00	-1.593658544e+01	-5.369761263e+00
39	-6.714933069e-01	8.652421971e-01	2.767418029e+00	5.531385083e-01	-9.576100207e+01	-5.656526552e+00
40	1.863473052e-01	-5.598860054e-01	3.210863423e+00	6.686377236e-01	-2.127602662e+01	-5.230851720e+00
41	8.191131575e-02	-3.489028272e-01	1.842626355e+00	-2.432178434e-01	-5.384663566e+01	-5.120974215e+00
42	1.226479713e+00	1.021685465e-01	4.711373698e+00	2.741781079e+00	-2.770548414e+01	-5.814098341e+00
43	-1.253287588e+00	-1.814877961e+00	2.143455787e+00	1.463888552e-01	-5.124949965e+01	-7.489008787e+00
44	-2.053100794e+00	4.784902679e-01	4.553185803e+00	4.977641053e-01	-3.029574189e+01	-7.278840796e+00
45	-1.239985898e+00	-7.533166209e-01	1.962039562e+00	-9.958200312e-01	-6.967030434e+01	-6.109278370e+00
46	-1.631634609e+00	-8.325035246e-01	5.143001605e+00	2.187303813e+00	-3.108009298e+01	-6.734399699e+00
47	-1.101870843e+00	-1.840914007e+00	4.341768548e+00	1.561652193e+00	-2.848520915e+01	-7.358294759e+00
48	9.650010202e-01	-3.943156580e-01	4.422546954e+00	1.407171556e+00	-3.289287236e+00	-5.600108795e+00
49	-3.337041574e-01	-5.928406942e-01	4.288023949e+00	4.926013142e-02	-1.876932350e+01	-5.288162168e+00
0	-4.740826797e-01	-1.490864480e+00	4.325030509e+00	-1.071803848e+00	-4.864996753e+01	-6.280468534e+00
1	3.560948762e-01	-1.448530697e-01	2.192732513e+00	2.598502117e+00	-5.851923432e+01	-5.130645878e+00
2	-2.815012003e-02	-1.838617837e-01	4.566908506e+00	-2.966688443e-01	-2.214446739e+01	-5.074051684e+00
3	-3.760770488e-01	2.658790851e-01	2.228964077e+00	1.534807513e-02	-5.225145705e+01	-5.162815709e+00
4	2.900278584e-01	-7.302382383e-02	4.610065829e+00	-3.807540317e-01	-2.418912224e+01	-5.101477210e+00
5	7.159654224e-01	-6.125716430e-01	3.653313521e+00	1.098464124e+00	-1.177871064e+01	-5.500678143e+00
6	9.135756581e-01	1.549868714e+00	4.024099626e+00	-1.008880297e+00	-1.185723312e+02	-6.675109649e+00
7	-4.957513773e-01	-8.484548044e-02	4.044731420e+00	7.269644782e-01	-1.188113356e+01	-5.183236983e+00
8	7.791709645e-01	2.752257481e-01	3.252468292e+00	9.939016288e-01	-3.859745562e+01	-5.398181193e+00
9	-5.226005747e-01	-3.133198449e-01	2.057227898e+00	8.490028494e-01	-4.395332473e+01	-5.242393234e+00
10	-6.072752187e-01	-3.864691969e-01	3.695509383e+00	-3.438317582e-01	-3.011023504e+01	-5.315823707e+00
11	1.749475349e+00	-6.288856750e-01	2.423573888e+00	-9.352170292e-01	-5.213300429e+01	-6.784833486e+00
12	9.877060492e-01	2.761392230e-01	3.381791067e+00	1.120239629e+00	-3.826516207e+01	-5.582660946e+00
13	1.770222389e-01	-1.848433747e-01	4.011076602e+00	1.727409438e+00	-8.978077309e+00	-5.089504864e+00
14	1.906354755e-01	-1.849398071e+00	4.457422877e+00	-1.229105342e+00	-5.267799357e+01	-6.785060446e+00
15	-3.827655665e-01	6.712004691e-01	4.672213065e+00	1.440091502e+00	-5.802746035e+01	-5.355262666e+00
16	-1.796568173e+00	6.790056386e-02	2.857523722e+00	-1.100044486e+00	-5.542539924e+01	-6.672886734e+00
17	8.351745443e-01	7.154442025e-02	1.854831449e+00	1.633514393e+00	-6.439436832e+01	-5.408070453e+00
18	-1.739549932e+00	-7.702709656e-01	5.042335946e+00	1.345202281e+00	-2.200082914e+01	-6.866428554e+00
19	-8.349390034e-01	1.132092661e+00	2.867276060e+00	8.143980555e-03	-1.160623883e+02	-6.046131357e+00
20	2.080472312e-01	1.228047408e+00	3.708772024e+00	-2.602917559e-01	-1.104294823e+02	-5.832444934e+00
21	-9.303971407e-01	7.497193300e-01	1.630818573e+00	2.470632962e+00	-1.212037326e+02	-5.770611848e+00
22	-4.480077708e-03	-6.524629260e-01	5.577528377e+00	2.548217417e-01	-1.670726019e+01	-5.269616862e+00
23	1.565593543e+00	1.959290052e+00	2.998247668e+00	4.365324770e-01	-1.088862392e+02	-8.201703216e+00
24	3.945660913e-02	1.713198707e-01	4.993948062e+00	1.150171572e-01	-2.371661897e+01	-5.072206552e+00
25	3.838350560e-01	1.062886769e+00	2.694738276e+00	-9.929429110e-01	-1.228601659e+02	-5.695281708e+00
26	9.318850626e-01	-9.590131806e-01	2.471119098e+00	2.188404281e-02	-3.746033251e+01	-5.950810916e+00
27	-3.735478413e-01	2.485146294e+00	3.047248298e+00	9.022293863e-01	-1.131883384e+02	-8.214497937e+00
28	-3.309865615e-01	-1.350507162e+00	4.506383840e+00	5.267090153e-02	-2.029613584e+01	-6.023463740e+00
29	-4.026353627e-01	-3.572784768e-02	2.275277275e+00	-1.456124100e-01	-4.401201921e+01	-5.138448748e+00
30	-1.735732105e-01	9.415203543e-01	3.825258094e+00	7.520244501e-01	-1.010057229e+02	-5.515047010e+00
31	-4.857098299e-01	6.880310448e-01	2.816083732e+00	-1.251110672e+00	-8.669096935e+01	-5.411403270e+00
32	-3.722128722e-01	-1.229600600e+00	4.779986407e+00	8.188246079e-01	-1.462367138e+01	-5.881982920e+00
33	-2.513978920e-01	5.201285919e-01	4.236391321e+00	-5.838923804e-01	-5.806141182e+01	-5.223620217e+00
34	-2.777590352e-01	-7.691440349e-01	3.011847189e+00	6.639284425e-01	-2.616911255e+01	-5.391119205e+00
35	1.107730196e-01	3.264174445e-02	1.978348002e+00	9.610409273e-02	-4.946802080e+01	-5.063420964e+00
36	-8.632438998e-01	7.346621619e-01	3.890314903e+00	9.718867399e-02	-6.730783431e+01	-5.699212153e+00
37	9.663950593e-01	-8.700385801e-01	5.543570644e+00	4.232734298e-01	-1.195876463e+01	-5.902196162e+00
38	-7.269471532e-01	-3.123532942e-01	4.733921528e+00	2.227024528e+00	-1.593658544e+01	-5.369761263e+00
39	-6.691217919e-01	8.714832484e-01	2.770238562e+00	5.590658480e-01	-9.648679404e+01	-5.660356404e+00
40	1.863473052e-01	-5.598860054e-01	3.210863423e+00	6.686377236e-01	-2.127602662e+01	-5.230851720e+00
41	-8.527611810e-02	-5.459438829e-03	2.028961828e+00	-2.640201995e-01	-5.040000742e+01	-5.060403802e+00
42	1.226479713e+00	1.021685465e-01	4.711373698e+00	2.741781079e+00	-2.770548414e+01	-5.814098341e+00
43	-1.253287588e+00	-1.814877961e+00	2.143455787e+00	1.463888552e-01	-5.124949965e+01	-7.489008787e+00
44	-1.894819006e+00	2.463626492e-02	4.076303984e+00	4.282274902e-01	-2.269005081e+01	-6.852225896e+00
45	-1.269521528e+00	-7.085723999e-01	2.056160500e+00	-9.415669991e-01	-6.716370004e+01	-6.113632769e+00
46	-1.631634609e+00	-8.325035246e-01	5.143001605e+00	2.187303813e+00	-3.108009298e+01	-6.734399699e+00
47	-1.101870843e+00	-1.840914007e+00	4.341768548e+00	1.561652193e+00	-2.848520915e+01	-7.358294759e+00
48	9.650010202e-01	-3.943156580e-01	4.422546954e+00	1.407171556e+00	-3.289287236e+00	-5.600108795e+00
49	-3.337041574e-01	-5.928406942e-01	4.288023949e+00	4.926013142e-02	-1.876932350e+01	-5.288162168e+00
0	-9.106960076e-01	-1.242539407e+00	4.633558423e+00	1.574885978e-01	-2.110306981e+01	-6.243388589e+00
1	3.560948762e-01	-1.448530697e-01	2.192732513e+00	2.598502117e+00	-5.851923432e+01	-5.130645878e+00
2	-3.777186826e-02	-2.209285516e-01	4.564985511e+00	-2.855695887e-01	-2.192469553e+01	-5.081870961e+00
3	-3.668459741e-01	7.880413843e-02	2.677537087e+00	2.273592886e-02	-3.670815034e+01	-5.127145922e+00
4	2.900278584e-01	-7.302382383e-02	4.610065829e+00	-3.807540317e-01	-2.418912224e+01	-5.101477210e+00
5	9.366708319e-01	-6.345270952e-01	3.837693788e+00	1.277583774e+00	-9.049149710e+00	-5.696741332e+00
6	9.135756581e-01	1.549868714e+00	4.024099626e+00	-1.008880297e+00	-1.185723312e+02	-6.675109649e+00
7	-4.957513773e-01	-8.484548044e-02	4.044731420e+00	7.269644782e-01	-1.188113356e+01	-5.183236983e+00
8	7.791709645e-01	2.752257481e-01	3.252468292e+00	9.939016288e-01	-3.859745562e+01	-5.398181193e+00
9	-5.226005747e-01	-3.133198449e-01	2.057227898e+00	8.490028494e-01	-4.395332473e+01	-5.242393234e+00
10	-8.155361226e-01	-3.199726661e-01	3.757103115e+00	-2.189507572e-01	-2.793106350e+01	-5.440493728e+00
11	1.749475349e+00	-6.288856750e-01	2.423573888e+00	-9.352170292e-01	-5.213300429e+01	-6.784833486e+00
12	1.948408431e-01	4.017000059e-03	4.007023735e+00	1.632023141e+00	-1.061162145e+01	-5.075742436e+00
13	1.283697739e-01	-1.349465349e-01	4.110330038e+00	1.837334065e+00	-8.962941135e+00	-5.074097574e+00
14	1.906354755e-01	-1.849398071e+00	4.457422877e+00	-1.229105342e+00	-5.267799357e+01	-6.785060446e+00
15	-3.827655665e-01	6.712004691e-01	4.672213065e+00	1.440091502e+00	-5.802746035e+01	-5.355262666e+00
16	-1.747132668e+00	5.444319464e-02	2.857540543e+00	-1.058449487e+00	-5.455761514e+01	-6.584471201e+00
17	8.351745443e-01	7.154442025e-02	1.854831449e+00	1.633514393e+00	-6.439436832e+01	-5.408070453e+00
