walker	cdf_0	cdf_1	log_l	log_p
0	2.778386549e+00	-3.387606158e+00	-1.005415471e+00	-7.377758908e+00
1	8.852824651e+00	1.500155435e+01	-7.816639694e+00	-7.377758908e+00
2	-3.797928420e+00	-1.219060991e+01	-1.137615946e+01	-7.377758908e+00
3	1.342870142e+01	7.063790546e+00	-7.816639694e+00	-7.377758908e+00
4	-7.277195703e-01	1.420040613e+01	-8.180093220e+00	-7.377758908e+00
5	1.471635938e+01	-1.708413618e+01	-7.816293506e+00	-7.377758908e+00
6	-1.000475948e+01	-4.652133275e+00	-1.137678112e+01	-7.377758908e+00
7	-1.000505708e+01	1.587563017e+01	-1.185185704e+01	-7.377758908e+00
8	-9.861628874e-01	-1.428328863e+01	-8.285250575e+00	-7.377758908e+00
9	1.310307859e+01	-8.472650030e-01	-7.816639694e+00	-7.377758908e+00
10	-1.022607668e+01	1.593284057e+01	-1.173221369e+01	-7.377758908e+00
11	1.201982856e+01	-9.570810497e+00	-7.816639679e+00	-7.377758908e+00
12	4.600734590e+00	-1.657024112e+00	-7.797312649e+00	-7.377758908e+00
13	1.493202634e+01	-1.477170575e+01	-7.816639638e+00	-7.377758908e+00
14	1.682955413e+01	-1.825541391e+01	-7.816639512e+00	-7.377758908e+00
15	5.859093168e+00	-4.080546366e+00	-7.782365899e+00	-7.377758908e+00
16	-6.055446944e-01	-1.534781368e+01	-7.484023361e+00	-7.377758908e+00
17	1.492462359e+01	1.686720386e+01	-7.816639694e+00	-7.377758908e+00
18	1.061061937e+01	1.682290308e+00	-7.816639694e+00	-7.377758908e+00
19	2.946904246e+00	4.988988169e+00	-7.817056742e+00	-7.377758908e+00
20	1.699075688e+01	-3.617281236e+00	-7.816639694e+00	-7.377758908e+00
21	-3.466934005e-01	-2.211721682e+00	7.876051997e-01	-7.377758908e+00
22	-2.633928081e-01	9.031258673e-01	-2.014556279e-01	-7.377758908e+00
23	1.003670659e+01	1.968057213e+01	-7.816639694e+00	-7.377758908e+00
24	5.623604041e+00	-1.382094622e+01	5.192837819e+00	-7.377758908e+00
25	-1.495935686e+01	1.999755495e+01	-1.137832170e+01	-7.377758908e+00
26	-5.888550751e-01	1.334346918e+01	-8.159459558e+00	-7.377758908e+00
27	7.187408536e+00	1.564143775e+01	-7.816639694e+00	-7.377758908e+00
28	5.250496555e+00	-8.868234702e+00	5.639382043e-01	-7.377758908e+00
29	1.371671608e+01	-1.909801175e+01	-7.087311365e+00	-7.377758908e+00
30	1.889783425e+01	1.510823149e+01	-7.816639694e+00	-7.377758908e+00
31	1.645269213e+01	1.352590628e+01	-7.816639694e+00	-7.377758908e+00
32	-1.860927707e+01	-1.564435254e+00	-1.137678112e+01	-7.377758908e+00
33	9.766379742e+00	1.860330098e+01	-7.816639694e+00	-7.377758908e+00
34	1.357256923e+01	-1.363752647e+01	-7.816636631e+00	-7.377758908e+00
35	1.596951085e+01	-1.681180647e+01	-7.816639519e+00	-7.377758908e+00
36	-9.973366773e+00	1.767421331e+01	-1.321390847e+01	-7.377758908e+00
37	-6.805933625e+00	-9.036529325e+00	-1.137678112e+01	-7.377758908e+00
38	4.191159472e+00	1.681954859e+01	-7.816639696e+00	-7.377758908e+00
39	-1.677024871e+01	1.415118592e+01	-1.137678112e+01	-7.377758908e+00
40	-1.845044575e+01	1.094454750e+01	-1.137678112e+01	-7.377758908e+00
41	-8.019044946e+00	-1.789201567e+01	-1.137678112e+01	-7.377758908e+00
42	-1.911028512e+01	-1.204723712e+01	-1.137678112e+01	-7.377758908e+00
43	-1.974860308e+01	-1.368724250e+01	-1.137678112e+01	-7.377758908e+00
44	9.335562394e+00	-1.414301213e+01	-3.676113847e+00	-7.377758908e+00
45	1.779043922e+01	-1.891818302e+01	-7.816639689e+00	-7.377758908e+00
46	-6.989695696e-01	7.139537768e+00	-9.052634531e+00	-7.377758908e+00
47	5.823335718e+00	1.700155379e+01	-7.816639694e+00	-7.377758908e+00
48	-3.284454250e+00	-9.532908315e+00	-1.135026085e+01	-7.377758908e+00
49	1.074443760e+01	7.115091070e+00	-7.816639694e+00	-7.377758908e+00
0	2.778386549e+00	-3.387606158e+00	-1.005415471e+00	-7.377758908e+00
1	9.823548586e+00	1.331764158e+01	-7.816639694e+00	-7.377758908e+00
2	4.528470867e+00	-1.288417697e+01	5.670337066e+00	-7.377758908e+00
3	1.580644366e+01	1.949700770e+01	-7.816639694e+00	-7.377758908e+00
4	-1.693290033e+00	1.378754052e+01	-9.315508407e+00	-7.377758908e+00
5	1.471635938e+01	-1.708413618e+01	-7.816293506e+00	-7.377758908e+00
6	-1.101784075e+01	-3.263577055e+00	-1.137678112e+01	-7.377758908e+00
7	-1.326039462e+01	1.504584612e+01	-1.137679272e+01	-7.377758908e+00
8	-9.861628874e-01	-1.428328863e+01	-8.285250575e+00	-7.377758908e+00
9	1.310307859e+01	-8.472650030e-01	-7.816639694e+00	-7.377758908e+00
10	-1.022607668e+01	1.593284057e+01	-1.173221369e+01	-7.377758908e+00
11	1.192855884e+01	-1.056615245e+01	-7.816638692e+00	-7.377758908e+00
12	-1.878085101e+00	5.253792125e+00	-6.605081762e+00	-7.377758908e+00
13	1.493202634e+01	-1.477170575e+01	-7.816639638e+00	-7.377758908e+00
14	1.682955413e+01	-1.825541391e+01	-7.816639512e+00	-7.377758908e+00
15	4.787681712e+00	-8.782482930e+00	1.993578245e+00	-7.377758908e+00
16	-6.055446944e-01	-1.534781368e+01	-7.484023361e+00	-7.377758908e+00
17	9.917112016e+00	1.089804060e+01	-7.816639694e+00	-7.377758908e+00
18	1.246490395e+01	-4.717040351e+00	-7.816639694e+00	-7.377758908e+00
19	1.906203994e+01	-4.802640585e+00	-7.816639694e+00	-7.377758908e+00
20	1.699075688e+01	-3.617281236e+00	-7.816639694e+00	-7.377758908e+00
21	2.138547369e+00	-4.254732156e+00	2.932801033e+00	-7.377758908e+00
22	-2.445829017e-01	8.524439969e-01	-1.446948589e-01	-7.377758908e+00
23	1.003670659e+01	1.968057213e+01	-7.816639694e+00	-7.377758908e+00
24	5.623604041e+00	-1.382094622e+01	5.192837819e+00	-7.377758908e+00
25	-1.495935686e+01	1.999755495e+01	-1.137832170e+01	-7.377758908e+00
26	-5.888550751e-01	1.334346918e+01	-8.159459558e+00	-7.377758908e+00
27	4.832181082e+00	1.293653682e+01	-7.816639694e+00	-7.377758908e+00
28	5.250496555e+00	-8.868234702e+00	5.639382043e-01	-7.377758908e+00
29	1.002607400e+01	-1.072855252e+01	-7.801785459e+00	-7.377758908e+00
30	1.889783425e+01	1.510823149e+01	-7.816639694e+00	-7.377758908e+00
31	1.645269213e+01	1.352590628e+01	-7.816639694e+00	-7.377758908e+00
32	-1.860927707e+01	-1.564435254e+00	-1.137678112e+01	-7.377758908e+00
33	8.721990385e+00	1.740385430e+01	-7.816639694e+00	-7.377758908e+00
34	1.357256923e+01	-1.363752647e+01	-7.816636631e+00	-7.377758908e+00
35	1.596951085e+01	-1.681180647e+01	-7.816639519e+00	-7.377758908e+00
36	-1.342317904e+01	1.493552422e+01	-1.137678520e+01	-7.377758908e+00
37	-1.366411375e+01	-1.185753567e+01	-1.137678112e+01	-7.377758908e+00
38	1.010217049e+01	1.613172388e+01	-7.816639694e+00	-7.377758908e+00
39	-1.677024871e+01	1.415118592e+01	-1.137678112e+01	-7.377758908e+00
40	-1.838258639e+01	1.628890651e+01	-1.137678112e+01	-7.377758908e+00
41	-5.044940333e+00	-1.945928701e+01	-1.137678112e+01	-7.377758908e+00
42	-1.911028512e+01	-1.204723712e+01	-1.137678112e+01	-7.377758908e+00
43	-1.974860308e+01	-1.368724250e+01	-1.137678112e+01	-7.377758908e+00
44	9.206051893e+00	-1.409091090e+01	-3.369003108e+00	-7.377758908e+00
45	1.779043922e+01	-1.891818302e+01	-7.816639689e+00	-7.377758908e+00
46	2.864711601e+00	7.120430659e+00	-7.816855677e+00	-7.377758908e+00
47	2.517981733e+00	1.195956066e+01	-7.816747855e+00	-7.377758908e+00
48	-4.328133352e+00	-9.152051688e+00	-1.137659384e+01	-7.377758908e+00
49	1.074443760e+01	7.115091070e+00	-7.816639694e+00	-7.377758908e+00
