walker	cdf_0	cdf_1	log_l	log_p
0	1.425742669e+01	1.938236415e+01	-7.816639694e+00	-7.377758908e+00
1	1.940449485e+01	1.912813016e+01	-7.816639694e+00	-7.377758908e+00
2	1.587084589e+01	5.359827902e+00	-7.816639694e+00	-7.377758908e+00
3	-1.115735981e+01	9.628121004e+00	-1.137678116e+01	-7.377758908e+00
4	4.265813888e+00	-1.505602564e+01	5.622440839e+00	-7.377758908e+00
5	1.939972217e+01	-1.018287328e+01	-7.816639694e+00	-7.377758908e+00
6	-9.987139297e-01	-8.569931588e+00	-5.970384281e+00	-7.377758908e+00
7	-1.957325133e+01	-7.519175577e+00	-1.137678112e+01	-7.377758908e+00
8	5.046128376e+00	1.108513804e+01	-7.816639694e+00	-7.377758908e+00
9	-1.163215026e+00	9.244064317e-01	-1.380516238e+00	-7.377758908e+00
0	7.754468691e+00	1.421133025e+01	-7.816639694e+00	-7.377758908e+00
1	1.940449485e+01	1.912813016e+01	-7.816639694e+00	-7.377758908e+00
2	1.587084589e+01	5.359827902e+00	-7.816639694e+00	-7.377758908e+00
3	-1.115735981e+01	9.628121004e+00	-1.137678116e+01	-7.377758908e+00
4	4.265813888e+00	-1.505602564e+01	5.622440839e+00	-7.377758908e+00
5	1.390123618e+01	-7.212810139e+00	-7.816639694e+00	-7.377758908e+00
6	3.134896295e+00	-5.156671440e+00	1.334272155e+00	-7.377758908e+00
7	-1.035041150e+01	-1.213941009e+00	-1.137678112e+01	-7.377758908e+00
8	5.451732181e+00	1.024700963e+01	-7.816639694e+00	-7.377758908e+00
9	1.205750772e+00	-6.048681690e+00	3.759630499e+00	-7.377758908e+00
0	7.394812083e+00	1.390490454e+01	-7.816639694e+00	-7.377758908e+00
1	1.940449485e+01	1.912813016e+01	-7.816639694e+00	-7.377758908e+00
2	1.587084589e+01	5.359827902e+00	-7.816639694e+00	-7.377758908e+00
3	-8.206280977e+00	1.030842547e+01	-1.140384766e+01	-7.377758908e+00
4	4.265813888e+00	-1.505602564e+01	5.622440839e+00	-7.377758908e+00
5	1.390123618e+01	-7.212810139e+00	-7.816639694e+00	-7.377758908e+00
6	3.538647230e+00	-8.690857784e+00	4.782652386e+00	-7.377758908e+00
7	-1.283281829e+01	-3.328939708e+00	-1.137678112e+01	-7.377758908e+00
8	5.185217563e+00	8.475064456e+00	-7.816639695e+00	-7.377758908e+00
9	3.776145545e+00	-7.124055320e+00	2.563139538e+00	-7.377758908e+00
0	6.724586542e+00	1.361341148e+01	-7.816639694e+00	-7.377758908e+00
1	1.831888509e+01	7.213306452e+00	-7.816639694e+00	-7.377758908e+00
2	1.263276096e+01	6.303843567e+00	-7.816639694e+00	-7.377758908e+00
3	-1.473815735e+01	8.862577798e+00	-1.137678112e+01	-7.377758908e+00
4	4.265813888e+00	-1.505602564e+01	5.622440839e+00	-7.377758908e+00
5	1.704532106e+01	-6.764359730e+00	-7.816639694e+00	-7.377758908e+00
6	3.538647230e+00	-8.690857784e+00	4.782652386e+00	-7.377758908e+00
7	-1.224509940e+01	-3.521427090e+00	-1.137678112e+01	-7.377758908e+00
8	4.640467767e+00	4.055551874e+00	-7.816640008e+00	-7.377758908e+00
9	3.340575590e+00	-6.490371912e+00	2.905169160e+00	-7.377758908e+00
0	2.322343837e+00	9.636976742e+00	-7.817220308e+00	-7.377758908e+00
1	4.949770662e+00	2.517783815e+00	-7.816639843e+00	-7.377758908e+00
2	1.515066886e+01	3.188698778e+00	-7.816639694e+00	-7.377758908e+00
3	-1.473815735e+01	8.862577798e+00	-1.137678112e+01	-7.377758908e+00
4	4.269538587e+00	-1.486602395e+01	5.650032169e+00	-7.377758908e+00
5	1.885169301e+01	-1.625366113e+01	-7.816639694e+00	-7.377758908e+00
6	1.821370765e+00	-8.935798160e+00	4.053148945e+00	-7.377758908e+00
7	-1.224509940e+01	-3.521427090e+00	-1.137678112e+01	-7.377758908e+00
8	3.261029700e+00	-2.301364109e+00	-5.571840290e+00	-7.377758908e+00
9	3.340575590e+00	-6.490371912e+00	2.905169160e+00	-7.377758908e+00
