walker	cdf_0	cdf_1	model1_0	model2_0	log_l	log_p
3	-2.210831663e-01	1.417211862e-01	3.345292268e+00	1.434358208e+00	-2.322777353e+01	-5.091234222e+00
4	2.947782500e-01	-6.446822765e-01	2.487285066e+00	-3.074421278e-01	-4.339614907e+01	-5.308007618e+00
5	-1.058600856e+00	3.513355045e-01	3.344630097e+00	-6.720977588e-02	-3.819836856e+01	-5.678789096e+00
6	2.394854307e+00	-1.397533022e+00	2.311965924e+00	2.029473353e+00	-4.535087945e+01	-8.900965742e+00
7	1.207775113e+00	-7.227603906e-03	4.641454401e+00	1.339223321e+00	-1.044852109e+01	-5.786139372e+00
8	-1.186786849e+00	4.188486918e-01	4.901102136e+00	-1.179544015e-01	-3.726619301e+01	-5.848701517e+00
9	4.087315816e-01	-1.649450223e+00	3.907778347e+00	1.084346285e+00	-1.735487322e+01	-6.500626664e+00
10	-1.294370799e+00	-8.878396240e-01	4.380057453e+00	-3.026439842e-01	-2.969588694e+01	-6.288580373e+00
11	8.102731119e-01	7.090472853e-01	3.953640547e+00	2.239488696e+00	-8.606463454e+01	-5.636398176e+00
12	-9.929328294e-01	-7.644324628e-01	2.749110384e+00	2.137282808e+00	-4.647675967e+01	-5.841889188e+00
13	2.671965943e-01	1.671379145e-01	3.841490676e+00	8.344331585e-01	-2.014263750e+01	-5.106417443e+00
14	1.656292405e+00	-1.777738987e-01	1.034539902e+00	1.432849341e+00	-8.053007351e+01	-6.444206936e+00
15	7.987743309e-02	-2.628608228e-01	4.919528959e+00	-1.905656289e-01	-1.962180078e+01	-5.094491000e+00
16	1.144773502e+00	-7.734525666e-01	4.525200443e+00	1.591976291e+00	-5.218609370e+00	-6.011120513e+00
17	-3.116658602e-01	-9.131582755e-01	2.569210714e+00	1.092024764e+00	-3.489252317e+01	-5.522249713e+00
18	-1.158735549e+00	-7.999410742e-01	4.952717318e+00	-1.900016787e-01	-2.645258987e+01	-6.048039789e+00
19	1.225848167e+00	1.367544416e+00	3.302239710e+00	1.021433828e+00	-1.048855875e+02	-6.743193620e+00
20	6.211271966e-01	-1.930746460e-01	3.329377850e+00	1.203695970e+00	-1.653063579e+01	-5.268291298e+00
21	7.703211868e-01	3.403328490e-01	1.438680276e+00	1.793006729e+00	-9.869317982e+01	-5.411363481e+00
22	2.847074629e-01	2.131261254e-01	2.352345926e+00	-1.685446286e+00	-6.577096951e+01	-5.119993434e+00
23	-5.132758516e-01	-1.678151243e+00	5.609586761e+00	-8.410437147e-01	-4.477058664e+01	-6.596574738e+00
24	-3.152076196e-01	-3.689251925e-03	4.042659801e+00	1.437052609e+00	-1.015412114e+01	-5.106437618e+00
25	3.286268034e-01	-1.281592708e-01	3.117533706e+00	3.595888831e-01	-2.496094623e+01	-5.118963079e+00
26	4.953812754e-02	1.403631177e+00	2.206748602e+00	1.327784776e+00	-1.268952801e+02	-6.043070145e+00
27	2.004555017e+00	6.412395102e-01	1.109516619e+00	-1.496854250e+00	-1.359759348e+02	-7.271467355e+00
28	-8.120174334e-01	2.520873516e-01	1.366156336e+00	-8.565592547e-01	-6.745090617e+01	-5.418213064e+00
29	-5.854941383e-02	1.910316718e-01	2.230020205e+00	2.619762272e-01	-4.870789427e+01	-5.076713458e+00
30	-4.157596626e-01	-1.183875784e+00	2.682997179e+00	2.490131918e+00	-5.485422978e+01	-5.843961875e+00
31	1.077136907e-01	-1.705218238e-01	2.660274574e+00	2.052984450e+00	-3.736402146e+01	-5.077092857e+00
32	1.428518333e+00	5.072040685e-02	5.310386154e+00	-1.095981930e+00	-5.553112951e+01	-6.078371485e+00
33	2.418159130e-01	5.317565950e-01	2.702394919e+00	1.350786119e+00	-6.912134725e+01	-5.227372897e+00
34	-8.939642498e-01	-6.798050620e-01	3.889779342e+00	6.021207344e-01	-1.884179411e+01	-5.687406392e+00
35	5.982003457e-01	1.974071687e-01	4.642309364e+00	-1.895028242e+00	-6.952448188e+01	-5.255159513e+00
36	-1.005723482e+00	-6.642217833e-01	2.227884180e+00	2.811137229e+00	-7.433632656e+01	-5.783088041e+00
37	-3.784956011e-01	9.148132147e-01	2.771423494e+00	4.978514215e-01	-1.049518730e+02	-5.546823960e+00
38	7.238208382e-01	-3.315249941e-01	1.686784435e+00	-1.559213716e+00	-6.606661610e+01	-5.373665605e+00
39	-2.593680087e-01	-1.961880800e-01	5.342235061e+00	1.421008461e+00	-8.340660995e+00	-5.109633655e+00
40	1.173344014e+00	3.388605341e-01	1.613581128e+00	1.973934702e+00	-9.877018230e+01	-5.802534210e+00
41	-1.570447960e-01	-5.231752370e-01	4.501643217e+00	2.241234944e+00	-1.497149387e+01	-5.205940590e+00
42	-4.568393169e-01	-1.056598126e+00	5.792870503e+00	7.165040366e-01	-1.945526144e+01	-5.719303772e+00
43	-8.277336065e-01	1.720554483e+00	1.141274423e+00	6.528954281e-01	-1.551673963e+02	-6.879478217e+00
44	-9.701207279e-01	8.278053295e-01	3.195594430e+00	5.463729462e-01	-8.207964761e+01	-5.869950836e+00
45	-4.255852536e-01	-5.760513168e-01	1.129342809e+00	-5.340286197e-01	-7.175982037e+01	-5.313231855e+00
46	9.511193293e-01	1.705961081e+00	5.192916156e+00	-1.842551538e+00	-1.571218137e+02	-6.964218486e+00
47	-9.478846515e-02	3.528582358e-01	2.609038010e+00	-7.516894983e-01	-5.948444750e+01	-5.123499785e+00
48	-1.348088339e+00	-4.148080880e-01	3.958140825e+00	-1.165318036e+00	-5.495844359e+01	-6.051456850e+00
49	-1.637593595e+00	-2.200495086e-03	1.697008837e+00	1.844769705e+00	-6.966145077e+01	-6.397611704e+00
0	2.613490078e-01	1.229441477e+00	4.089303587e+00	2.074951524e-01	-1.103649621e+02	-5.846667716e+00
1	-2.627978456e+00	-1.895703956e-01	1.429500413e+00	-1.363294258e+00	-9.112930450e+01	-8.527856741e+00
2	8.845051050e-01	-2.290228510e+00	4.695248921e+00	1.740908035e+00	-2.155553751e+01	-8.070500846e+00
3	-5.118732995e-02	-3.413164515e-01	3.496839092e+00	1.339499304e+00	-1.568913338e+01	-5.116311423e+00
4	2.326945032e-01	-6.106475810e-01	2.432627699e+00	-1.908648069e-01	-4.232764767e+01	-5.270271491e+00
5	-1.058600856e+00	3.513355045e-01	3.344630097e+00	-6.720977588e-02	-3.819836856e+01	-5.678789096e+00
6	1.889695891e+00	-1.242355453e+00	2.114974960e+00	1.580511586e+00	-4.560534687e+01	-7.613951707e+00
7	1.083529070e+00	-4.698757083e-02	4.597018514e+00	1.295648898e+00	-7.993338707e+00	-5.644874430e+00
