cdf_0 cdf_1 model1_0 model2_0
0.36735266018352464 -0.3832105774476571 4.5036419206463325 1.7282539796351224
1.1196135007114385 -0.5051151931125568 4.582813009078621 1.3364663019412497
0.7650691979594215 -0.3373818493770321 4.8068953456879315 1.280253217687718
0.5621038102054468 -0.5277857663829056 4.180987396270585 1.7106824513412782
0.829247020988066 -0.6112079871762822 4.9076521642170094 2.0782849448069913
1.8123841622152972 -0.5916933358110246 4.66738942900359 1.1919910329259658
1.7598149500372562 -0.4826156268195961 4.8158199645921504 1.3176758344024466
2.2512950894880075 -0.38334510279531164 5.040837390617931 1.3641834408358824
2.066100044634198 -0.5109615223974051 5.047748168231528 1.4283783378897437
1.4375205306799517 -0.5313374500129937 4.828724797337938 1.2494383305715944
1.2990498615430885 -0.47510846035327137 4.491974784115547 1.4847306513431504
1.3739907930764301 -0.38150716703684373 4.543868329876294 1.3728895094729898
1.6944856474092758 -0.6435243460263609 4.64973519236462 1.5854330592173371
1.5848930990312662 -0.5632461894102258 4.508925892285456 1.5323915939015051
1.406750392948275 -0.5453779243856123 4.841686712880311 1.4987215625652865
1.2993409524960438 -0.2747253090992831 4.661536869540415 1.2538257830103223
1.0477070020134638 -0.20920695121275104 4.54713214378162 1.2110470080585876
1.1279440222784791 -0.28424998680758523 4.5542784916373895 1.2698208897580954
1.1465849542473947 -0.305310284401638 4.634279988877366 1.457738710386184
1.3125081635816218 -0.4759082982785725 4.759680295450752 0.917903927188581
1.3863603522244374 -0.7721478799210763 4.678350567717224 1.0833842471119755
1.1709363049264359 -0.5091203318726694 4.305540476557747 1.1205751958191972
1.780664571392998 -0.4084048868497126 4.478021802706264 1.486697847918852
1.5248044283380136 -0.38760781320791327 4.856009062951328 1.1857467307365117
2.248691702663344 -0.49426182630010307 4.59512518569562 1.7184134349246976
1.9900899642403789 -0.49460123831540254 4.703998718457414 1.630939084800324
1.6002662905606233 -0.466671035375223 4.605515604460436 1.5305395496968743
2.0966765656518622 -0.785566316702716 4.8991108642002255 1.3037397849529622
1.6752292803222588 -0.7488566629148917 4.798039424763722 1.3179928685616251
1.0360467286477097 -0.4659946446561204 4.9821341415964255 1.2770713034641032
1.2641075594236102 -0.4055514419889394 4.640862856809891 1.38886741259401
1.2067634775513123 -0.36883741081230276 4.28690607442087 1.6362636733447424
0.5019969802917075 -0.39006916050486434 4.783633016468425 1.4029732512110176
0.500682187692157 -0.06608602298582578 4.388674247767861 1.7670826058754732
1.7994035429430832 -0.35071447154096425 4.105498166388295 1.3867684050287103
1.6323647325017265 -0.4060337165548721 4.336495937394673 1.3607649871364234
0.13560135897580938 -0.18661028043526517 4.975820841997436 1.9007711836771854
1.9470582227765574 -0.608495156970018 4.543216783123429 1.188453918794025
1.9171567316818239 -0.6272111254557627 4.354596476442943 1.1874678257923859
2.248699481214191 -0.6491792629203463 4.8630140296481725 1.1825013490722862
2.021370823012157 -0.5439072587138855 4.646009103955748 1.3962113415707584
1.1777239108807747 -0.482334603515101 4.436442729021091 0.8829331110222506
1.1318700540504874 -0.3077825879020154 4.3465516325775315 1.163095541216184
2.0864303357181764 -0.6502699754016293 4.394761966841154 1.1533857626642126
2.4479735941119465 -0.7837504324786324 4.565582511517688 1.1850962547627049
1.7227976233761932 -0.6324935243255603 4.673932883266493 1.1381997384382594
0.17084161762273897 -0.09709971608539597 4.4425563471013945 1.7503474769428569
1.6846269896829964 -1.049304721619666 5.100682454436631 0.973769515789422
1.304708308288534 -0.5054620338467883 4.029465485487524 0.9848421807650933
2.37058915239117 -0.6102223805908232 4.488663905347798 1.6042771514075542
2.0893869466997335 -1.0095908736739494 5.1641106668805214 1.2718886189860137
