walker	cdf_0	cdf_1	log_l	log_p
0	3.343894569e+00	1.523602508e+01	-7.816640264e+00	-7.377758908e+00
1	4.943226273e+00	9.322639781e+00	-7.816639696e+00	-7.377758908e+00
2	2.616242382e+00	1.327590443e+01	-7.816681218e+00	-7.377758908e+00
3	1.411871380e+01	-1.765263185e+01	-7.798494890e+00	-7.377758908e+00
4	1.335247524e+00	2.981400832e+00	-7.725638223e+00	-7.377758908e+00
5	1.180631961e+01	-4.691009225e+00	-7.816639694e+00	-7.377758908e+00
6	-1.582157476e+01	3.924603799e+00	-1.137678112e+01	-7.377758908e+00
7	1.781124396e+01	1.213049086e+01	-7.816639694e+00	-7.377758908e+00
8	-1.526799136e+01	1.129041446e+01	-1.137678112e+01	-7.377758908e+00
9	-8.844951163e+00	-1.179793995e+01	-1.137678112e+01	-7.377758908e+00
0	6.124819189e+00	1.463907699e+01	-7.816639694e+00	-7.377758908e+00
1	1.215061748e+01	1.119627955e+01	-7.816639694e+00	-7.377758908e+00
2	1.291836076e+01	1.850093760e+01	-7.816639694e+00	-7.377758908e+00
3	1.411871380e+01	-1.765263185e+01	-7.798494890e+00	-7.377758908e+00
4	6.470232732e+00	1.043623532e+01	-7.816639694e+00	-7.377758908e+00
5	6.284213411e+00	-6.591387495e+00	-7.043869905e+00	-7.377758908e+00
6	-8.779322763e+00	7.496296427e+00	-1.137679174e+01	-7.377758908e+00
7	1.647183734e+01	1.190943957e+01	-7.816639694e+00	-7.377758908e+00
8	-1.428080335e+01	1.047134743e+01	-1.137678112e+01	-7.377758908e+00
9	-2.162145192e+00	-2.096020580e+00	-7.417612716e+00	-7.377758908e+00
0	6.330364512e+00	1.458485226e+01	-7.816639694e+00	-7.377758908e+00
1	1.215061748e+01	1.119627955e+01	-7.816639694e+00	-7.377758908e+00
2	1.291836076e+01	1.850093760e+01	-7.816639694e+00	-7.377758908e+00
3	1.287982744e+01	-1.252464158e+01	-7.816636165e+00	-7.377758908e+00
4	8.369226416e+00	1.281131513e+01	-7.816639694e+00	-7.377758908e+00
5	1.763688696e+00	-2.090241041e-01	-4.258130102e+00	-7.377758908e+00
6	-8.779322763e+00	7.496296427e+00	-1.137679174e+01	-7.377758908e+00
7	1.789054367e+01	1.153517194e+01	-7.816639694e+00	-7.377758908e+00
8	-1.364794670e+01	1.012911577e+01	-1.137678112e+01	-7.377758908e+00
9	-2.162145192e+00	-2.096020580e+00	-7.417612716e+00	-7.377758908e+00
0	6.005553086e+00	1.477395867e+01	-7.816639694e+00	-7.377758908e+00
1	7.370913948e+00	5.947955310e+00	-7.816639694e+00	-7.377758908e+00
2	4.867925437e+00	1.596400957e+01	-7.816639694e+00	-7.377758908e+00
3	1.287982744e+01	-1.252464158e+01	-7.816636165e+00	-7.377758908e+00
4	9.642670173e+00	1.175392868e+01	-7.816639694e+00	-7.377758908e+00
5	1.763688696e+00	-2.090241041e-01	-4.258130102e+00	-7.377758908e+00
6	-6.626752386e+00	8.831902565e+00	-1.151894814e+01	-7.377758908e+00
7	1.693312271e+01	1.139018044e+01	-7.816639694e+00	-7.377758908e+00
8	-1.009454715e+01	6.406903690e+00	-1.137678112e+01	-7.377758908e+00
9	-1.615358502e+00	-2.475108569e+00	-5.102868218e+00	-7.377758908e+00
0	8.541484033e+00	1.398869459e+01	-7.816639694e+00	-7.377758908e+00
1	1.155355784e+01	8.328460721e+00	-7.816639694e+00	-7.377758908e+00
2	4.383098579e+00	1.647117783e+01	-7.816639695e+00	-7.377758908e+00
3	1.287982744e+01	-1.252464158e+01	-7.816636165e+00	-7.377758908e+00
4	9.446448547e+00	1.170077013e+01	-7.816639694e+00	-7.377758908e+00
5	1.763688696e+00	-2.090241041e-01	-4.258130102e+00	-7.377758908e+00
6	-7.693536643e+00	9.981391387e+00	-1.143576429e+01	-7.377758908e+00
7	1.693312271e+01	1.139018044e+01	-7.816639694e+00	-7.377758908e+00
8	-1.009454715e+01	6.406903690e+00	-1.137678112e+01	-7.377758908e+00
9	-1.615358502e+00	-2.475108569e+00	-5.102868218e+00	-7.377758908e+00
0	7.549064008e+00	1.358494333e+01	-7.816639694e+00	-7.377758908e+00
1	1.155355784e+01	8.328460721e+00	-7.816639694e+00	-7.377758908e+00
2	2.750486529e+00	9.781050576e+00	-7.816746303e+00	-7.377758908e+00
3	1.158323333e+01	-8.099902450e+00	-7.816639693e+00	-7.377758908e+00
4	1.057802082e+01	1.315089768e+01	-7.816639694e+00	-7.377758908e+00
5	-2.031325348e-02	-1.573149061e+00	1.758831685e+00	-7.377758908e+00
6	-7.693536643e+00	9.981391387e+00	-1.143576429e+01	-7.377758908e+00
7	1.693312271e+01	1.139018044e+01	-7.816639694e+00	-7.377758908e+00
8	-1.009454715e+01	6.406903690e+00	-1.137678112e+01	-7.377758908e+00
9	3.683985601e+00	-4.733509970e+00	-1.839172740e+00	-7.377758908e+00
0	7.902902775e+00	1.386543577e+01	-7.816639694e+00	-7.377758908e+00
1	1.155217586e+01	9.093526139e+00	-7.816639694e+00	-7.377758908e+00
2	2.750486529e+00	9.781050576e+00	-7.816746303e+00	-7.377758908e+00
