walker	cdf_0	cdf_1	log_l	log_p
0	-1.595605441e+01	-1.306593228e+01	-1.137678112e+01	-7.377758908e+00
1	7.693939663e+00	2.322723282e+00	-7.816639694e+00	-7.377758908e+00
2	1.902777123e+01	9.243209471e+00	-7.816639694e+00	-7.377758908e+00
3	2.663791446e+00	1.630765441e+01	-7.816648542e+00	-7.377758908e+00
4	1.027204628e+01	-6.218744658e+00	-7.816639691e+00	-7.377758908e+00
5	-1.345462733e+01	-9.154427319e+00	-1.137678112e+01	-7.377758908e+00
6	-1.061656165e+01	-1.412971239e+01	-1.137678112e+01	-7.377758908e+00
7	-6.872595489e+00	4.261815023e+00	-1.137679241e+01	-7.377758908e+00
8	-6.248487754e+00	-1.964240494e+01	-1.137678112e+01	-7.377758908e+00
9	-1.873946106e+01	1.951142982e+01	-1.137678112e+01	-7.377758908e+00
10	-1.323749230e+01	-1.343977522e+01	-1.137678112e+01	-7.377758908e+00
11	3.130833036e+00	1.454402865e+01	-7.816641995e+00	-7.377758908e+00
12	-3.865934038e+00	6.537167380e+00	-1.156723190e+01	-7.377758908e+00
13	-1.590781523e+01	1.440711584e+01	-1.137678112e+01	-7.377758908e+00
14	-8.740874967e+00	6.100780635e+00	-1.137678134e+01	-7.377758908e+00
15	-1.148428650e+01	-1.681400064e+01	-1.137678112e+01	-7.377758908e+00
16	-4.029394709e+00	1.486841279e+01	-1.786632774e+01	-7.377758908e+00
17	7.605896552e+00	1.124581049e+01	-7.816639694e+00	-7.377758908e+00
18	-1.137235619e+01	-1.352887299e+01	-1.137678112e+01	-7.377758908e+00
19	-1.890633219e+01	1.054261747e+01	-1.137678112e+01	-7.377758908e+00
20	-1.578826112e+01	1.018586368e+01	-1.137678112e+01	-7.377758908e+00
21	9.756359067e-01	4.649077984e+00	-7.934568194e+00	-7.377758908e+00
22	-6.605552381e+00	9.143491519e+00	-1.158742157e+01	-7.377758908e+00
23	1.627541801e+01	-2.652852596e+00	-7.816639694e+00	-7.377758908e+00
24	2.285585931e+00	-3.216878167e+00	6.656778821e-01	-7.377758908e+00
