walker	cdf_0	cdf_1	log_l	log_p
0	-1.929012743e+00	-1.988762442e+01	-1.127626268e+01	-7.377758908e+00
1	-1.347470269e+01	1.795756289e+00	-1.137678112e+01	-7.377758908e+00
2	-2.873789138e+00	-1.430151885e+01	-1.135710136e+01	-7.377758908e+00
3	2.238777564e+00	-1.408889387e+00	-3.405647495e+00	-7.377758908e+00
4	2.624526346e+00	-1.442555590e+00	-4.974377568e+00	-7.377758908e+00
5	1.918844753e+01	1.311571284e+01	-7.816639694e+00	-7.377758908e+00
6	-1.006963436e+01	-1.456862865e+01	-1.137678112e+01	-7.377758908e+00
7	7.734138757e+00	1.229107938e+01	-7.816639694e+00	-7.377758908e+00
8	-5.533802724e+00	1.342184097e+00	-1.137669386e+01	-7.377758908e+00
9	-7.136145769e+00	5.204539773e-01	-1.137678112e+01	-7.377758908e+00
10	1.250258703e+01	-1.406941604e+01	-7.814501192e+00	-7.377758908e+00
11	-7.192768334e+00	-3.373761512e+00	-1.137678112e+01	-7.377758908e+00
12	-9.228669926e+00	3.202597975e+00	-1.137678112e+01	-7.377758908e+00
13	-1.719494491e+01	-7.395293877e+00	-1.137678112e+01	-7.377758908e+00
14	-4.805212228e+00	6.253824707e-01	-1.137404218e+01	-7.377758908e+00
15	-3.944664401e+00	-1.375996217e+01	-1.137665875e+01	-7.377758908e+00
16	1.754095669e-01	-9.882166221e+00	-1.867659330e+00	-7.377758908e+00
17	6.612842395e+00	7.770972382e+00	-7.816639694e+00	-7.377758908e+00
18	6.833758885e+00	1.229479824e+01	-7.816639694e+00	-7.377758908e+00
19	1.793256039e+00	-1.861389718e+01	-8.180247245e-01	-7.377758908e+00
20	-1.101940897e+01	-1.954193204e+01	-1.137678112e+01	-7.377758908e+00
21	1.247788118e+01	-1.771810551e+01	-6.390599197e+00	-7.377758908e+00
22	6.066996654e+00	-4.999451420e+00	-7.708051155e+00	-7.377758908e+00
23	3.430592700e+00	-1.168307878e+01	5.485796779e+00	-7.377758908e+00
24	3.487483625e+00	-1.759660617e+01	3.914830380e+00	-7.377758908e+00
25	-6.325020034e+00	3.430003304e+00	-1.137679368e+01	-7.377758908e+00
26	1.547871839e+01	6.433442385e-01	-7.816639694e+00	-7.377758908e+00
27	1.724210996e+01	-7.122142473e+00	-7.816639694e+00	-7.377758908e+00
28	3.183646485e+00	7.014040142e+00	-7.816701987e+00	-7.377758908e+00
29	-1.013607919e+01	1.153837572e+01	-1.137749058e+01	-7.377758908e+00
30	-5.436562741e+00	1.485655259e+00	-1.137662012e+01	-7.377758908e+00
